event_id,ticker,data_ticker,creator,event_date,event_year,recommendation_type,top5_flag,confidence_score,confidence_label,quality_score,high_confidence,event_idx,prior_return_1d,prior_return_5d,prior_return_21d,prior_return_63d,prior_return_126d,prior_volatility_21d,prior_max_drawdown_21d,prior_abnormal_volume,prior_market_cap,post_bhar_1d,post_vol_1d,post_raw_ret_1d,post_bhar_5d,post_vol_5d,post_raw_ret_5d,post_bhar_21d,post_vol_21d,post_raw_ret_21d,post_bhar_63d,post_vol_63d,post_raw_ret_63d,post_1d_range_pct,forward_spy_bhar_5d,forward_spy_bhar_21d,forward_spy_bhar_63d,av_expanded_news_clean_flag,av_expanded_news_confounded_flag,av_expanded_news_unknown_flag,public_news_clean,public_news_confounded,public_news_unknown,master_clean,master_confounded,master_unknown,is_event
1798,META,META,"Parkev Tatevosian, CFA",2026-05-11,2026.0,buy,False,0.62,high,3.0,True,1685,-0.019944070914375667,-0.04857305580174465,-0.1372871722653516,-0.1832111456113149,-0.14002685706322937,0.023899479381319717,-0.13025924628782937,-0.143874503369808,,0.008428099577506232,,0.006913159586054318,,,,,,,,,,0.0,0.0256016466066058,0.0256016466066058,0.0256016466066058,False,False,True,False,False,True,False,True,True,True
1799,GOOGL,GOOGL,Investing with Tom,2023-08-25,2023.0,sell,False,0.62,high,3.0,True,1007,-0.0062795962601247535,0.011036772542996065,0.03137845256108018,-0.013174902927570509,0.3388522082710823,0.013681281896144608,-0.03963224143635102,0.0800075571604999,,0.0023590005551028526,,0.008700383153743996,0.019000908348269396,0.011622032480057281,0.0445027399768918,0.018524422154348796,0.013301683286018866,-0.010086126081817692,0.013939655692803532,0.01773679999393223,0.0524330487813256,0.0,0.0190009083482693,0.0185244221543487,0.0139396556928035,False,False,True,False,False,True,False,False,True,True
1800,GOOGL,GOOGL,Jose Najarro Stocks,2026-04-30,2026.0,sell,False,0.62,high,3.0,True,1678,0.08966740723118538,0.12105991331520682,0.23310282956564254,0.10011957296463203,0.38867143911581326,0.024838234703787085,-0.02748180851130344,0.3847177143598455,,-0.0004561858744429603,,0.0023129279539280123,0.016299589068702103,0.012322418236279366,0.03427755420954637,,,,,,,0.0,0.0162995890687021,0.0134012880726257,0.0134012880726257,False,False,True,False,False,True,False,True,True,True
1801,PYPL,PYPL,Couch Investor,2026-05-05,2026.0,buy,False,0.62,high,3.0,True,1681,-0.08541845019181049,-0.08043055059356707,-0.07619438557547542,0.06571997076530045,-0.3924649925224083,0.02484123427076622,-0.09657981916881708,0.09975928335962769,,-0.018631666004713,,-0.004732226559695407,-0.042495169246896114,0.009626490752935247,-0.022585567086441993,,,,,,,0.0,-0.0424951692468961,-0.0527184890778678,-0.0527184890778678,False,False,True,False,False,True,False,True,True,True
1802,PYPL,PYPL,Couch Investor,2026-05-05,2026.0,sell,False,0.62,high,3.0,True,1681,-0.08541845019181049,-0.08043055059356707,-0.07619438557547542,0.06571997076530045,-0.3924649925224083,0.02484123427076622,-0.09657981916881708,0.09975928335962769,,-0.018631666004713,,-0.004732226559695407,-0.042495169246896114,0.009626490752935247,-0.022585567086441993,,,,,,,0.0,-0.0424951692468961,-0.0527184890778678,-0.0527184890778678,False,False,True,False,False,True,False,True,True,True
1803,MSFT,MSFT,Couch Investor,2026-05-05,2026.0,buy,False,0.62,high,3.0,True,1681,-0.013437761197642173,-0.05860444625172656,0.00484837756980383,-0.04982678186733547,-0.2694301750445467,0.020188651548889686,-0.05807080723615943,-0.184160465820287,,-0.0076278984327105,,0.006271541012307091,-0.02868498216505344,0.012761467934443167,-0.00877538000459932,,,,,,,0.0,-0.0286849821650534,-0.0406141722687111,-0.0406141722687111,False,False,True,False,False,True,False,False,True,True
1805,MSFT,MSFT,Couch Investor,2026-04-30,2026.0,buy,False,0.47,medium,2.0,False,1678,-0.04924660007850423,-0.0335818658815471,-0.003450731309508681,-0.09548534177326418,-0.29655621961543377,0.02071171390072225,-0.05807080723615943,0.16385543633597877,,0.01356323126468495,,0.016332345093055922,0.013877423238333186,0.010117723571009133,0.03185538837917745,,,,,,,0.0,0.0138774232383331,-0.0392109396906084,-0.0392109396906084,False,False,True,False,False,True,False,True,True,True
1806,META,META,Couch Investor,2026-04-29,2026.0,buy,False,0.62,high,3.0,True,1677,-0.003152325247164356,-0.008819936599974487,0.1215025366670166,-0.024592377766841755,-0.1516758132215914,0.02311659771225706,-0.04269837179598668,-0.3108966614764397,,-0.09545001956932908,,-0.0855003921421249,-0.11531912358492835,0.03934432937426087,-0.0840506794667305,,,,,,,0.0,-0.1153191235849283,-0.1216318620478036,-0.1216318620478036,False,False,True,False,False,True,False,True,True,True
1807,GOOGL,GOOGL,Couch Investor,2026-04-29,2026.0,buy,False,0.62,high,3.0,True,1677,0.000611981950155216,0.030777641559353697,0.1535168771708506,0.01615787897562737,0.25700146031495996,0.017124985663156612,-0.02748180851130344,0.08958300156377663,,0.08966740723118538,,0.09961703465838956,0.10618370701610824,0.04236742149874371,0.1374521511343061,,,,,,,0.0,0.1061837070161082,0.1073545120884387,0.1073545120884387,False,False,True,False,False,True,False,True,True,True
1808,META,META,The Investor Channel,2026-03-13,2026.0,buy,False,0.62,high,3.0,True,1645,-0.03268334938962025,-0.03329869073374303,-0.03934222448849933,-0.021328725396590142,-0.1943443589227799,0.01640732833160606,-0.08222048345376054,-0.03536147922508648,,0.013086936338403632,,0.023263802449886795,-0.013800424193308736,0.017316096548727938,-0.03184197997635574,0.028970436003398436,0.032870372049384027,0.08040802184021123,,,,0.0,-0.0138004241933087,0.0289704360033984,-0.1182659606467102,False,False,True,False,False,True,False,False,True,True
