strategy,holding_days,cost_bps,trade_count,average_trade_return,median_trade_return,cumulative_return,cagr_proxy,annualized_volatility,sharpe,sortino,max_drawdown,hit_rate,skew,breakeven_transaction_cost_bps,turnover_trades,top5_event_share,status
long_all_buys,10,0,1808,0.012329,0.003278,661256.048259,0.205382,0.484274,0.642,1.217,-0.999859,0.5188,0.184931,61.64,3616,0.5564,diagnostic_event_trade_sequence
long_all_buys,10,5,1808,0.011329,0.002278,108612.445703,0.175413,0.484274,0.590,1.113,-0.999911,0.5149,0.184931,61.64,3616,0.5564,diagnostic_event_trade_sequence
long_all_buys,10,10,1808,0.010329,0.001278,17806.253143,0.146159,0.484274,0.537,1.009,-0.999944,0.5094,0.184931,61.64,3616,0.5564,diagnostic_event_trade_sequence
long_all_buys,10,25,1808,0.007329,-0.001722,76.610426,0.062531,0.484274,0.381,0.704,-0.999986,0.4878,0.184931,61.64,3616,0.5564,diagnostic_event_trade_sequence
long_all_buys,10,50,1808,0.002329,-0.006722,-0.991304,-0.063996,0.484274,0.121,0.218,-0.999999,0.4663,0.184931,61.64,3616,0.5564,diagnostic_event_trade_sequence
long_all_buys,10,100,1808,-0.007671,-0.016722,-1.000000,-0.275073,0.484274,-0.399,-0.682,-1.000000,0.4054,0.184931,61.64,3616,0.5564,diagnostic_event_trade_sequence
short_all_sells,10,0,514,0.006618,-0.000227,-0.480719,-0.031617,0.681792,0.245,0.553,-0.999792,0.4961,2.586857,33.09,1028,0.6926,diagnostic_event_trade_sequence
short_all_sells,10,5,514,0.005618,-0.001227,-0.690856,-0.055930,0.681792,0.208,0.467,-0.999840,0.4864,2.586857,33.09,1028,0.6926,diagnostic_event_trade_sequence
short_all_sells,10,10,514,0.004618,-0.002227,-0.816055,-0.079657,0.681792,0.171,0.382,-0.999877,0.4825,2.586857,33.09,1028,0.6926,diagnostic_event_trade_sequence
short_all_sells,10,25,514,0.001618,-0.005227,-0.961374,-0.147452,0.681792,0.060,0.132,-0.999944,0.4747,2.586857,33.09,1028,0.6926,diagnostic_event_trade_sequence
short_all_sells,10,50,514,-0.003382,-0.010227,-0.997165,-0.249924,0.681792,-0.125,-0.270,-0.999992,0.4222,2.586857,33.09,1028,0.6926,diagnostic_event_trade_sequence
short_all_sells,10,100,514,-0.013382,-0.020227,-0.999985,-0.420556,0.681792,-0.495,-1.025,-1.000000,0.3463,2.586857,33.09,1028,0.6926,diagnostic_event_trade_sequence
long_buy_short_sell,10,0,2322,0.011065,0.002321,343376.950096,0.148360,0.534292,0.522,1.046,-0.997996,0.5138,1.269278,55.32,4644,0.5866,diagnostic_event_trade_sequence
long_buy_short_sell,10,5,2322,0.010065,0.001321,33576.176774,0.119747,0.534292,0.475,0.946,-0.998916,0.5086,1.269278,55.32,4644,0.5866,diagnostic_event_trade_sequence
long_buy_short_sell,10,10,2322,0.009065,0.000321,3274.558358,0.091818,0.534292,0.428,0.848,-0.999414,0.5034,1.269278,55.32,4644,0.5866,diagnostic_event_trade_sequence
long_buy_short_sell,10,25,2322,0.006065,-0.002679,1.997803,0.011986,0.534292,0.286,0.558,-0.999973,0.4849,1.269278,55.32,4644,0.5866,diagnostic_event_trade_sequence
long_buy_short_sell,10,50,2322,0.001065,-0.007679,-0.999975,-0.108772,0.534292,0.050,0.096,-1.000000,0.4565,1.269278,55.32,4644,0.5866,diagnostic_event_trade_sequence
long_buy_short_sell,10,100,2322,-0.008935,-0.017679,-1.000000,-0.310142,0.534292,-0.421,-0.765,-1.000000,0.3923,1.269278,55.32,4644,0.5866,diagnostic_event_trade_sequence
long_top5_buys,10,0,1006,0.020453,0.009079,3474093.680859,0.458298,0.533954,0.965,2.066,-0.992414,0.5477,0.737333,102.27,2012,1.0000,diagnostic_event_trade_sequence
long_top5_buys,10,5,1006,0.019453,0.008079,1282264.603338,0.422339,0.533954,0.918,1.953,-0.993574,0.5427,0.737333,102.27,2012,1.0000,diagnostic_event_trade_sequence
long_top5_buys,10,10,1006,0.018453,0.007079,472802.409176,0.387232,0.533954,0.871,1.841,-0.994821,0.5358,0.737333,102.27,2012,1.0000,diagnostic_event_trade_sequence
long_top5_buys,10,25,1006,0.015453,0.004079,23559.104021,0.286832,0.533954,0.729,1.514,-0.997298,0.5129,0.737333,102.27,2012,1.0000,diagnostic_event_trade_sequence
long_top5_buys,10,50,1006,0.010453,-0.000921,154.804832,0.134811,0.533954,0.493,0.995,-0.999097,0.4950,0.737333,102.27,2012,1.0000,diagnostic_event_trade_sequence
long_top5_buys,10,100,1006,0.000453,-0.010921,-0.993688,-0.119166,0.533954,0.021,0.041,-0.999997,0.4374,0.737333,102.27,2012,1.0000,diagnostic_event_trade_sequence
long_non_top_buys,10,0,802,0.002137,-0.001787,-0.809661,-0.050791,0.408208,0.132,0.205,-0.988485,0.4825,-1.641392,10.69,1604,0.0000,diagnostic_event_trade_sequence
long_non_top_buys,10,5,802,0.001137,-0.002787,-0.915296,-0.074635,0.408208,0.070,0.109,-0.990373,0.4800,-1.641392,10.69,1604,0.0000,diagnostic_event_trade_sequence
long_non_top_buys,10,10,802,0.000137,-0.003787,-0.962337,-0.097903,0.408208,0.008,0.013,-0.992245,0.4763,-1.641392,10.69,1604,0.0000,diagnostic_event_trade_sequence
long_non_top_buys,10,25,802,-0.002863,-0.006787,-0.996706,-0.164389,0.408208,-0.177,-0.269,-0.998220,0.4564,-1.641392,10.69,1604,0.0000,diagnostic_event_trade_sequence
long_non_top_buys,10,50,802,-0.007863,-0.011787,-0.999944,-0.264884,0.408208,-0.485,-0.721,-0.999953,0.4302,-1.641392,10.69,1604,0.0000,diagnostic_event_trade_sequence
long_non_top_buys,10,100,802,-0.017863,-0.021787,-1.000000,-0.432227,0.408208,-1.103,-1.567,-1.000000,0.3653,-1.641392,10.69,1604,0.0000,diagnostic_event_trade_sequence
short_non_top_buys_diagnostic,10,0,802,-0.002137,0.001787,-0.986081,-0.125682,0.408208,-0.132,-0.222,-0.999086,0.5162,1.641392,0.00,1604,0.0000,diagnostic_event_trade_sequence
short_non_top_buys_diagnostic,10,5,802,-0.003137,0.000787,-0.993804,-0.147634,0.408208,-0.194,-0.324,-0.999460,0.5062,1.641392,0.00,1604,0.0000,diagnostic_event_trade_sequence
short_non_top_buys_diagnostic,10,10,802,-0.004137,-0.000213,-0.997244,-0.169056,0.408208,-0.255,-0.425,-0.999681,0.5000,1.641392,0.00,1604,0.0000,diagnostic_event_trade_sequence
short_non_top_buys_diagnostic,10,25,802,-0.007137,-0.003213,-0.999759,-0.230266,0.408208,-0.441,-0.720,-0.999954,0.4763,1.641392,0.00,1604,0.0000,diagnostic_event_trade_sequence
short_non_top_buys_diagnostic,10,50,802,-0.012137,-0.008213,-0.999996,-0.322781,0.408208,-0.749,-1.189,-0.999999,0.4401,1.641392,0.00,1604,0.0000,diagnostic_event_trade_sequence
short_non_top_buys_diagnostic,10,100,802,-0.022137,-0.018213,-1.000000,-0.476827,0.408208,-1.367,-2.053,-1.000000,0.3840,1.641392,0.00,1604,0.0000,diagnostic_event_trade_sequence
low_lookahead_top5,10,0,315,0.022639,0.006963,239.189555,0.550402,0.526499,1.084,2.525,-0.845014,0.5365,1.152562,113.19,630,1.0000,diagnostic_event_trade_sequence
low_lookahead_top5,10,5,315,0.021639,0.005963,174.952181,0.512278,0.526499,1.036,2.398,-0.854375,0.5302,1.152562,113.19,630,1.0000,diagnostic_event_trade_sequence
low_lookahead_top5,10,10,315,0.020639,0.004963,127.854697,0.475054,0.526499,0.988,2.272,-0.863180,0.5302,1.152562,113.19,630,1.0000,diagnostic_event_trade_sequence
low_lookahead_top5,10,25,315,0.017639,0.001963,49.513178,0.368587,0.526499,0.844,1.905,-0.897768,0.5016,1.152562,113.19,630,1.0000,diagnostic_event_trade_sequence
low_lookahead_top5,10,50,315,0.012639,-0.003037,9.540335,0.207337,0.526499,0.605,1.323,-0.938855,0.4857,1.152562,113.19,630,1.0000,diagnostic_event_trade_sequence
low_lookahead_top5,10,100,315,0.002639,-0.013037,-0.551862,-0.062194,0.526499,0.126,0.260,-0.990551,0.4159,1.152562,113.19,630,1.0000,diagnostic_event_trade_sequence
high_quality_top5,10,0,949,0.019707,0.008522,679183.622256,0.428447,0.538397,0.922,1.968,-0.992296,0.5448,0.753327,98.54,1898,1.0000,diagnostic_event_trade_sequence
high_quality_top5,10,5,949,0.018707,0.007522,265020.632800,0.393193,0.538397,0.876,1.857,-0.993232,0.5395,0.753327,98.54,1898,1.0000,diagnostic_event_trade_sequence
high_quality_top5,10,10,949,0.017707,0.006522,103314.348384,0.358775,0.538397,0.829,1.747,-0.994055,0.5321,0.753327,98.54,1898,1.0000,diagnostic_event_trade_sequence
high_quality_top5,10,25,949,0.014707,0.003522,6085.215123,0.260348,0.538397,0.688,1.425,-0.996660,0.5090,0.753327,98.54,1898,1.0000,diagnostic_event_trade_sequence
high_quality_top5,10,50,949,0.009707,-0.001478,52.256669,0.111329,0.538397,0.454,0.914,-0.998819,0.4921,0.753327,98.54,1898,1.0000,diagnostic_event_trade_sequence
high_quality_top5,10,100,949,-0.000293,-0.011478,-0.996207,-0.137593,0.538397,-0.014,-0.026,-0.999997,0.4341,0.753327,98.54,1898,1.0000,diagnostic_event_trade_sequence
duplicate_collapsed_only,10,0,1693,0.010955,0.003633,110309.983761,0.188662,0.466276,0.592,1.223,-0.997268,0.5239,1.206047,54.78,3386,0.5558,diagnostic_event_trade_sequence
duplicate_collapsed_only,10,5,1693,0.009955,0.002633,20375.822022,0.159153,0.466276,0.538,1.103,-0.998248,0.5180,1.206047,54.78,3386,0.5558,diagnostic_event_trade_sequence
duplicate_collapsed_only,10,10,1693,0.008955,0.001633,3756.647002,0.130348,0.466276,0.484,0.986,-0.998877,0.5121,1.206047,54.78,3386,0.5558,diagnostic_event_trade_sequence
duplicate_collapsed_only,10,25,1693,0.005955,-0.001367,22.324404,0.047996,0.466276,0.322,0.642,-0.999705,0.4920,1.206047,54.78,3386,0.5558,diagnostic_event_trade_sequence
duplicate_collapsed_only,10,50,1693,0.000955,-0.006367,-0.995275,-0.076613,0.466276,0.052,0.100,-0.999997,0.4625,1.206047,54.78,3386,0.5558,diagnostic_event_trade_sequence
duplicate_collapsed_only,10,100,1693,-0.009045,-0.016367,-1.000000,-0.284532,0.466276,-0.489,-0.889,-1.000000,0.4022,1.206047,54.78,3386,0.5558,diagnostic_event_trade_sequence
creator_adjusted_top_quartile,10,0,0,,,,,,,,,,,,0,,diagnostic_event_trade_sequence
creator_adjusted_top_quartile,10,5,0,,,,,,,,,,,,0,,diagnostic_event_trade_sequence
creator_adjusted_top_quartile,10,10,0,,,,,,,,,,,,0,,diagnostic_event_trade_sequence
