event_id,ticker,company_name,event_date,effective_trading_event_date,sec_confounded_flag,gdelt_article_count_pm5,gdelt_major_news_flag_pm5,free_news_confounded_flag,free_news_clean_flag,free_news_unknown_flag,provider_coverage_status,ar_1d,ar_5d,timing_bucket,duplicate_cluster_size,top5_flag
495,UBER,Uber,2024-12-12,2024-12-12,False,0,False,False,True,False,gdelt_only,-0.019347,-0.011087,after_close,1,False
496,GOOGL,Alphabet,2024-07-18,2024-07-18,True,1,False,True,False,False,gdelt_only,0.015559,0.034729,during_market,3,False
497,GOOGL,Alphabet,2024-07-18,2024-07-18,True,0,False,True,False,False,gdelt_only,-0.016022,0.104078,during_market,3,False
498,GOOGL,Alphabet,2024-07-18,2024-07-18,True,0,False,True,False,False,gdelt_only,-0.000701,0.022812,during_market,3,False
499,AMD,AMD,2024-04-30,2024-04-30,True,6,True,True,False,False,gdelt_only,,,after_close,1,True
500,CRM,CRM,2024-12-28,2024-12-30,False,0,False,False,True,False,gdelt_only,-0.01695,-0.048573,weekend_or_holiday,1,False
501,AMD,AMD,2024-12-28,2024-12-30,False,5,True,True,False,False,gdelt_only,-0.019944,,weekend_or_holiday,1,True
502,AAPL,Apple,2025-01-07,2025-01-07,True,5,True,True,False,False,gdelt_only,,,during_market,1,True
503,NVDA,Nvidia,2025-11-19,2025-11-19,True,6,True,True,False,False,gdelt_only,-0.019944,,during_market,3,True
504,TSLA,Tesla,2024-07-24,2024-07-24,True,6,True,True,False,False,gdelt_only,0.030103,,after_close,1,True
505,TSLA,Tesla,2024-04-24,2024-04-24,True,6,True,True,False,False,gdelt_only,-0.025595,,after_close,1,True
506,GOOGL,Alphabet,2025-11-25,2025-11-25,False,1,False,False,True,False,gdelt_only,-0.011015,-0.08767,during_market,2,False
507,GOOGL,Alphabet,2025-11-25,2025-11-25,False,1,False,False,True,False,gdelt_only,-0.011015,-0.08767,during_market,2,False
508,NVDA,Nvidia,2025-11-25,2025-11-25,True,7,True,True,False,False,gdelt_only,0.010842,-0.02269,during_market,1,True
509,AMD,AMD,2025-11-25,2025-11-25,False,5,True,True,False,False,gdelt_only,0.009081,-0.031419,during_market,2,True
510,AMD,AMD,2025-11-25,2025-11-25,False,5,True,True,False,False,gdelt_only,-0.00281,0.002887,during_market,2,True
511,PYPL,PayPal,2025-11-25,2025-11-25,False,1,False,False,True,False,gdelt_only,-0.00281,0.002887,during_market,1,False
512,MSFT,Microsoft,2025-11-25,2025-11-25,False,0,False,False,True,False,gdelt_only,-0.020549,0.055892,during_market,1,False
513,META,Meta,2025-11-25,2025-11-25,False,0,False,False,True,False,gdelt_only,0.013016,0.036357,during_market,2,False
514,META,Meta,2025-11-25,2025-11-25,False,1,False,False,True,False,gdelt_only,0.00215,0.024462,during_market,2,False
515,MSFT,Microsoft,2025-06-18,2025-06-18,False,1,False,False,True,False,gdelt_only,0.007621,,before_open,1,False
516,TSLA,Tesla,2024-11-06,2024-11-06,False,6,True,True,False,False,gdelt_only,-0.002508,-0.040899,after_close,1,True
517,GOOGL,Alphabet,2025-11-18,2025-11-18,False,1,False,False,True,False,gdelt_only,0.014298,0.134269,during_market,1,False
518,PYPL,PayPal,2025-11-18,2025-11-18,True,0,False,True,False,False,gdelt_only,-0.008381,0.0418,during_market,3,False
519,PYPL,PayPal,2025-11-18,2025-11-18,True,1,False,True,False,False,gdelt_only,,,during_market,3,False
520,PYPL,PayPal,2025-11-18,2025-11-18,True,1,False,True,False,False,gdelt_only,-0.006357,-0.015829,during_market,3,False
521,META,Meta,2025-11-18,2025-11-18,False,1,False,False,True,False,gdelt_only,0.005416,-0.031766,during_market,1,False
522,PYPL,PayPal,2024-04-30,2024-04-30,True,1,False,True,False,False,gdelt_only,-0.013197,0.020327,during_market,1,False
523,TSLA,Tesla,2025-04-25,2025-04-25,True,5,True,True,False,False,gdelt_only,0.006713,-0.046796,during_market,1,True
524,TSLA,Tesla,2025-10-22,2025-10-22,True,5,True,True,False,False,gdelt_only,0.006346,0.007388,after_close,8,True
525,TSLA,Tesla,2025-10-22,2025-10-22,True,5,True,True,False,False,gdelt_only,-0.019347,-0.011087,after_close,8,True
526,TSLA,Tesla,2025-10-22,2025-10-22,True,7,True,True,False,False,gdelt_only,,,after_close,8,True
