ticker,provider,endpoint,status,error_class_safe,ts_utc
META,FMP,upgrades-downgrades,http_429,http_429,2026-05-17T03:11:06.910306+00:00
META,FMP,price-target-summary,http_429,http_429,2026-05-17T03:11:13.031955+00:00
META,FMP,price-target-consensus,http_429,http_429,2026-05-17T03:11:19.179274+00:00
META,Finnhub,stock/recommendation,ok,,2026-05-17T03:11:19.854707+00:00
META,Finnhub,stock/price-target,http_403,http_403,2026-05-17T03:11:20.221947+00:00
META,yfinance,info,ok,,2026-05-17T03:11:20.606764+00:00
META,yfinance,ticker,ok,,2026-05-17T03:11:20.710747+00:00
MSFT,FMP,ratings-historical,http_429,http_429,2026-05-17T03:11:26.494391+00:00
MSFT,FMP,grades,http_429,http_429,2026-05-17T03:11:32.627448+00:00
MSFT,FMP,upgrades-downgrades,http_429,http_429,2026-05-17T03:11:38.782098+00:00
MSFT,FMP,price-target-summary,http_429,http_429,2026-05-17T03:11:44.963565+00:00
MSFT,FMP,price-target-consensus,http_429,http_429,2026-05-17T03:11:51.102943+00:00
MSFT,Finnhub,stock/recommendation,ok,,2026-05-17T03:11:51.718287+00:00
MSFT,Finnhub,stock/price-target,http_403,http_403,2026-05-17T03:11:52.083463+00:00
MSFT,yfinance,info,ok,,2026-05-17T03:11:52.467250+00:00
MSFT,yfinance,ticker,ok,,2026-05-17T03:11:52.643058+00:00
NFLX,FMP,ratings-historical,http_429,http_429,2026-05-17T03:11:58.591215+00:00
NFLX,FMP,grades,http_429,http_429,2026-05-17T03:12:04.758585+00:00
NFLX,FMP,upgrades-downgrades,http_429,http_429,2026-05-17T03:12:10.882484+00:00
NFLX,FMP,price-target-summary,http_429,http_429,2026-05-17T03:12:17.012466+00:00
NFLX,FMP,price-target-consensus,http_429,http_429,2026-05-17T03:12:23.140180+00:00
NFLX,Finnhub,stock/recommendation,ok,,2026-05-17T03:12:23.786570+00:00
NFLX,Finnhub,stock/price-target,http_403,http_403,2026-05-17T03:12:24.184430+00:00
