event_id,ticker,event_date,effective_trading_event_date,sec_filing_near_event_flag,sec_8k_near_event_flag,earnings_near_event_flag,major_news_near_event_flag,same_day_news_flag,plus_minus_1_day_news_flag,plus_minus_3_day_news_flag,plus_minus_5_day_news_flag,news_confounded_event_flag,news_source_used,news_query_status
172,AMZN,2025-03-26,2025-03-26,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
173,AMD,2024-08-01,2024-08-01,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
174,NVDA,2024-08-01,2024-08-01,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
175,AMZN,2024-07-10,2024-07-10,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
176,GOOGL,2024-07-10,2024-07-10,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
177,AMD,2023-08-25,2023-08-25,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
178,NVDA,2023-08-25,2023-08-25,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
179,AMZN,2023-08-25,2023-08-25,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
180,NVDA,2024-02-29,2024-02-29,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
181,NVDA,2024-02-29,2024-02-29,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
182,MSFT,2023-06-26,2023-06-26,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
183,DIS,2025-05-21,2025-05-21,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
184,AAPL,2025-03-12,2025-03-12,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
185,AAPL,2025-03-12,2025-03-12,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
186,TSLA,2023-05-26,2023-05-26,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
187,SOFI,2025-12-02,2025-12-02,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
188,SOFI,2025-12-02,2025-12-02,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
189,UBER,2025-12-02,2025-12-02,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
190,NVDA,2025-12-13,2025-12-15,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
191,AMZN,2024-08-10,2024-08-12,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
192,GOOGL,2024-08-10,2024-08-12,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
193,AAPL,2024-08-10,2024-08-12,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
194,TSLA,2024-08-10,2024-08-12,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
195,NVDA,2024-02-08,2024-02-08,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
196,GOOGL,2024-02-08,2024-02-08,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
197,TSLA,2023-07-05,2023-07-05,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
198,GOOGL,2023-07-05,2023-07-05,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
199,SOFI,2025-06-11,2025-06-11,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
200,SOFI,2025-06-11,2025-06-11,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,protocol_only,not_run
