event_id,creator,ticker,recommendation_type,pre_event_return_20_1,pre_event_abnormal_return_20_1,pre_event_return_5_1,pre_event_abnormal_return_5_1,event_day_return_0_1,event_day_abnormal_return_0_1,post_event_return_0_5,post_event_abnormal_return_0_5,post_event_return_5_20,post_event_abnormal_return_5_20,post_event_return_0_20,post_event_abnormal_return_0_20,momentum_decile,short_momentum_decile,reversal_flag,continuation_flag,event_quality_score
428,"Mark Roussin, CPA",AMZN,buy,-0.030074,-0.029461,0.061511,0.022056,0.003703,0.005329,-0.015262,-0.017371,0.064843,0.060777,0.048592,0.042409,4,8,False,True,58
429,"Mark Roussin, CPA",DIS,buy,-0.051312,-0.050699,0.038976,-0.000478,-0.011892,-0.010266,0.010570,0.008462,0.011767,0.007701,0.022462,0.016279,4,6,True,False,79
430,The Investor Channel,AAPL,buy,0.027211,-0.019699,-0.028895,-0.032568,0.009847,0.013488,0.017439,0.003582,-0.072809,-0.094956,-0.056640,-0.092950,5,3,True,False,60
431,"Mark Roussin, CPA",MSFT,buy,0.050948,0.008490,0.002633,-0.001673,-0.008462,-0.008884,-0.014215,-0.022217,0.041571,0.026567,0.026766,0.003639,6,5,True,False,66
432,Couch Investor,PYPL,buy,-0.092341,-0.093280,-0.051925,-0.037969,-0.019228,-0.010830,-0.019228,-0.023825,0.012715,-0.002448,-0.006757,-0.026587,2,3,False,True,64
433,Couch Investor,PYPL,buy,-0.092341,-0.093280,-0.051925,-0.037969,-0.019228,-0.010830,-0.019228,-0.023825,0.012715,-0.002448,-0.006757,-0.026587,2,3,False,True,61
434,Couch Investor,AMZN,sell,0.084119,0.083180,-0.055193,-0.041237,-0.044317,-0.035919,-0.028299,-0.032896,-0.016440,-0.031603,-0.044274,-0.064103,8,2,True,False,66
435,Couch Investor,AAPL,buy,0.039788,0.038850,0.011061,0.025016,-0.000075,0.008323,0.031631,0.027034,-0.004748,-0.019911,0.026733,0.006903,7,8,False,True,66
436,"Mark Roussin, CPA",NVDA,buy,-0.024858,-0.008736,0.124893,0.100206,0.014000,0.011758,0.007163,0.001467,-0.037416,-0.047825,-0.030521,-0.046685,5,10,True,False,73
437,"Mark Roussin, CPA",AAPL,sell,-0.009828,0.006294,0.040629,0.015943,0.005919,0.003677,-0.000845,-0.006541,-0.009041,-0.019451,-0.009879,-0.026043,6,7,True,False,77
438,The Investor Channel,MSFT,buy,0.012563,-0.010534,-0.018706,-0.022275,-0.007372,-0.001014,0.000047,0.006635,-0.052615,-0.035920,-0.052571,-0.029398,5,4,True,False,65
439,Daniel Pronk,AMZN,buy,-0.054902,-0.076642,-0.020917,-0.017123,0.010817,-0.001068,0.043995,0.027794,0.055333,0.024997,0.101762,0.054734,3,4,True,False,78
440,Daniel Pronk,AMZN,buy,0.021022,-0.011469,-0.006465,-0.014731,0.002680,-0.001908,-0.016241,-0.033806,0.020105,0.007106,0.003537,-0.027255,5,4,False,True,67
441,The Investor Channel,NVDA,buy,0.313117,0.266207,0.032705,0.029032,0.047944,0.051586,0.090281,0.076425,0.181664,0.159517,0.288346,0.252036,10,9,False,True,61
442,The Investor Channel,GOOGL,buy,0.034973,-0.011937,-0.072475,-0.076148,0.009130,0.012772,0.046495,0.032639,-0.105033,-0.127180,-0.063422,-0.099732,5,1,True,False,51
443,Couch Investor,UBER,buy,-0.022215,-0.034175,-0.077517,-0.059415,-0.005313,-0.007603,-0.021148,0.001995,-0.033004,-0.059098,-0.053454,-0.055802,4,2,True,False,83
444,The Investor Channel,TSLA,sell,-0.042385,-0.075605,0.062829,0.065763,0.005213,0.004307,0.030811,0.010339,-0.142242,-0.162723,-0.115813,-0.157186,3,10,True,False,66
445,The Investor Channel,PYPL,buy,0.043571,0.001155,0.038468,0.015481,-0.112429,-0.112871,-0.069102,-0.070046,-0.006285,-0.038858,-0.074953,-0.108500,6,7,True,False,78
446,The Investor Channel,NVDA,buy,0.283835,0.241419,0.108830,0.085843,-0.006533,-0.006975,0.054224,0.053280,0.254037,0.221464,0.322035,0.288488,10,10,False,True,63
447,"Value Investing with Sven Carlin, Ph.D.",UBER,buy,0.078996,0.120407,-0.008040,0.021697,-0.019875,-0.002123,-0.069038,-0.027550,0.046348,0.033200,-0.025889,0.002996,9,8,True,False,68
448,The Investor Channel,DIS,buy,-0.003468,-0.029245,0.015772,0.009460,0.016972,0.011029,0.035016,0.012694,-0.025201,0.006955,0.008932,0.019485,4,7,True,False,61
449,The Investor Channel,AAPL,sell,-0.059067,-0.084843,0.013296,0.006984,0.006372,0.000429,-0.001970,-0.024291,0.002380,0.034536,0.000406,0.010958,3,6,False,True,77
450,The Investor Channel,AMZN,buy,0.052709,0.026933,0.019390,0.013078,0.000344,-0.005599,0.025513,0.003192,0.026556,0.058712,0.052746,0.063299,7,7,False,True,71
451,The Investor Channel,GOOGL,buy,0.002311,-0.023465,0.056791,0.050479,0.046041,0.040098,0.067927,0.045606,0.027128,0.059283,0.096898,0.107450,5,9,True,False,78
452,"Mark Roussin, CPA",AMZN,buy,0.032853,0.010159,0.033133,0.026593,-0.032844,-0.013241,0.074508,0.055492,-0.006519,-0.019699,0.067504,0.035056,6,8,False,True,67
453,"Mark Roussin, CPA",GOOGL,buy,0.023031,0.000337,0.042388,0.035848,-0.019202,0.000401,0.011750,-0.007266,-0.041244,-0.054424,-0.029978,-0.062426,6,9,True,False,64
454,"Mark Roussin, CPA",GOOGL,buy,0.023031,0.000337,0.042388,0.035848,-0.019202,0.000401,0.011750,-0.007266,-0.041244,-0.054424,-0.029978,-0.062426,6,9,True,False,58
455,Jose Najarro Stocks,AMD,buy,-0.037396,-0.062608,0.018744,0.017728,-0.011223,-0.016953,0.052459,0.035484,0.384493,0.380698,0.457122,0.436287,3,8,True,False,59
456,Daniel Pronk,SHOP,buy,-0.140440,-0.172931,-0.238206,-0.246472,-0.012759,-0.017348,0.002212,-0.015354,0.083347,0.070349,0.085743,0.054951,1,1,False,True,63
457,Daniel Pronk,SHOP,buy,-0.140440,-0.172931,-0.238206,-0.246472,-0.012759,-0.017348,0.002212,-0.015354,0.083347,0.070349,0.085743,0.054951,1,1,False,True,68
458,Daniel Pronk,SHOP,buy,-0.140440,-0.172931,-0.238206,-0.246472,-0.012759,-0.017348,0.002212,-0.015354,0.083347,0.070349,0.085743,0.054951,1,1,False,True,62
459,The Investor Channel,NVDA,buy,0.213482,0.192492,0.026926,0.028058,0.071572,0.060814,0.031257,0.025050,-0.035058,-0.047654,-0.004897,-0.023778,10,8,False,True,61
460,The Investor Channel,NVDA,sell,0.213482,0.192492,0.026926,0.028058,0.071572,0.060814,0.031257,0.025050,-0.035058,-0.047654,-0.004897,-0.023778,10,8,False,True,61
461,The Investor Channel,TSLA,buy,-0.094178,-0.115167,-0.068034,-0.066902,-0.001294,-0.012051,-0.022332,-0.028539,0.017722,0.005126,-0.005006,-0.023887,2,2,False,True,60
462,The Investor Channel,GOOGL,buy,-0.091208,-0.112198,0.015448,0.016580,0.006029,-0.004728,0.072710,0.066503,0.060401,0.047805,0.137503,0.118622,2,7,True,False,65
463,"Mark Roussin, CPA",AMZN,buy,0.063341,0.011498,0.000966,0.002325,0.010619,0.001162,0.037279,0.008184,0.043937,0.068770,0.082854,0.079314,6,6,False,True,69
464,"Mark Roussin, CPA",PYPL,buy,0.144340,0.092497,0.017045,0.018404,0.011214,0.001756,0.005108,-0.023986,-0.031486,-0.006654,-0.026539,-0.030079,9,8,True,False,62
