event_id,ticker,creator,recommendation_type,top5_flag,low_lookahead_flag,duplicate_collapsed_flag,sec_clean_flag,actionability_score,interval,start_offset,end_offset,spy_interval_ar,spy_interval_car,right_censored,status,missing_price_reason
1836,NVDA,Learn to Invest - Investors Grow,buy,True,True,True,True,3,6_20,5,20,0.001930,0.005751,False,computed,
1836,NVDA,Learn to Invest - Investors Grow,buy,True,True,True,True,3,21_63,20,63,0.103954,0.098049,True,computed,
1836,NVDA,Learn to Invest - Investors Grow,buy,True,True,True,True,3,64_126,63,126,,,True,missing,insufficient_market_window
1836,NVDA,Learn to Invest - Investors Grow,buy,True,True,True,True,3,127_252,126,252,,,True,missing,insufficient_market_window
1836,NVDA,Learn to Invest - Investors Grow,buy,True,True,True,True,3,253_504,252,504,,,True,missing,insufficient_market_window
1836,NVDA,Learn to Invest - Investors Grow,buy,True,True,True,True,3,505_end_of_sample,504,end_of_sample,,,False,missing,insufficient_market_window
1837,NVDA,Couch Investor,buy,True,True,True,False,3,0_5,0,5,0.025048,0.024900,True,computed,
1837,NVDA,Couch Investor,buy,True,True,True,False,3,6_20,5,20,,,True,missing,insufficient_market_window
1837,NVDA,Couch Investor,buy,True,True,True,False,3,21_63,20,63,,,True,missing,insufficient_market_window
1837,NVDA,Couch Investor,buy,True,True,True,False,3,64_126,63,126,,,True,missing,insufficient_market_window
1837,NVDA,Couch Investor,buy,True,True,True,False,3,127_252,126,252,,,True,missing,insufficient_market_window
1837,NVDA,Couch Investor,buy,True,True,True,False,3,253_504,252,504,,,True,missing,insufficient_market_window
1837,NVDA,Couch Investor,buy,True,True,True,False,3,505_end_of_sample,504,end_of_sample,,,False,missing,insufficient_market_window
1838,AMZN,Best of Us Investors,sell,True,True,True,False,3,0_5,0,5,-0.040899,-0.040467,False,computed,
1838,AMZN,Best of Us Investors,sell,True,True,True,False,3,6_20,5,20,0.000167,0.000349,True,computed,
1838,AMZN,Best of Us Investors,sell,True,True,True,False,3,21_63,20,63,,,True,missing,insufficient_market_window
1838,AMZN,Best of Us Investors,sell,True,True,True,False,3,64_126,63,126,,,True,missing,insufficient_market_window
1838,AMZN,Best of Us Investors,sell,True,True,True,False,3,127_252,126,252,,,True,missing,insufficient_market_window
1838,AMZN,Best of Us Investors,sell,True,True,True,False,3,253_504,252,504,,,True,missing,insufficient_market_window
1838,AMZN,Best of Us Investors,sell,True,True,True,False,3,505_end_of_sample,504,end_of_sample,,,False,missing,insufficient_market_window
