window,ticker,n,mean_abnormal_spy
PRE_1W,AMD,211,0.019077781990521327
PRE_1W,AMZN,150,-0.011092920000000001
PRE_1W,COIN,3,-0.10076599999999998
PRE_1W,CRM,2,-0.0252725
PRE_1W,DIS,37,-0.007237783783783783
PRE_1W,GME,1,0.012261
PRE_1W,GOOGL,157,0.014802745222929937
PRE_1W,HOOD,1,0.053129
PRE_1W,META,76,-0.0006308421052631571
PRE_1W,MSFT,159,-0.0008425408805031447
PRE_1W,NFLX,50,-0.02478638
PRE_1W,NVDA,322,0.0052548291925465845
PRE_1W,PLTR,6,0.06954183333333333
PRE_1W,PYPL,51,-0.007805686274509804
PRE_1W,SHOP,11,-0.05170054545454545
PRE_1W,SMCI,3,0.019694
PRE_1W,SOFI,40,-0.03600445
PRE_1W,TSLA,504,-0.02249642261904762
PRE_1W,UBER,29,-0.015499655172413793
PRE_3M,AAPL,201,-0.001965711442786071
PRE_3M,AMC,54,-0.36306888888888894
PRE_3M,AMD,211,0.16420640284360188
PRE_3M,AMZN,150,-0.005305193333333334
PRE_3M,COIN,3,-0.082121
PRE_3M,CRM,2,0.036878
PRE_3M,DIS,37,-0.030875243243243245
PRE_3M,GME,1,-0.000567
PRE_3M,GOOGL,157,0.10646368789808917
PRE_3M,HOOD,1,-0.388706
PRE_3M,META,76,-0.0884471052631579
PRE_3M,MSFT,159,-0.012447515723270441
PRE_3M,NFLX,50,-0.0046133
PRE_3M,NVDA,322,0.1358579844720497
PRE_3M,PLTR,6,-0.0030789999999999984
PRE_3M,PYPL,51,-0.13934501960784315
PRE_3M,SHOP,11,0.09379290909090908
PRE_3M,SMCI,3,2.182835
PRE_3M,SOFI,40,-0.22629972499999998
PRE_3M,TSLA,504,-0.021196257936507937
PRE_3M,UBER,29,-0.04358420689655173
