window,creator,n,mean_abnormal_spy
2W,Financial Education,159,0.08143253459119497
2W,Graham Stephan,18,0.012530166666666667
2W,HyperChange,225,-0.03569933333333334
2W,Investing with Tom,7,-0.0034977142857142854
2W,Jose Najarro Stocks,143,-0.007567286713286714
2W,Joseph Carlson,132,0.005521386363636364
2W,Kenan Grace,24,0.034657375
2W,Learn to Invest - Investors Grow,18,0.008743666666666665
2W,"Mark Roussin, CPA",57,0.00544742105263158
2W,Meet Kevin,29,0.009421965517241379
2W,Minority Mindset,3,-0.154025
2W,New Money,84,0.009072142857142857
2W,"Parkev Tatevosian, CFA",4,0.02009325
2W,STOCK UP! with LARRY JONES,30,-0.019587599999999997
2W,Sasha Yanshin,140,-0.015218307142857143
2W,Stock Moe,5,0.028673999999999998
2W,The Investor Channel,115,0.018633434782608694
2W,The Plain Bagel,30,-0.008848000000000002
2W,The Swedish Investor,7,0.1100312857142857
2W,Ticker Symbol: YOU,192,0.013150656249999998
2W,Tom Nash,51,0.0019463529411764676
2W,"Value Investing with Sven Carlin, Ph.D.",20,0.0009187
2W,ZipTrader,91,-0.328110021978022
2Y,Chicken Genius Singapore,63,1.011932619047619
2Y,HyperChange,213,0.5026642112676056
2Y,Investing with Tom,7,0.2609
2Y,Joseph Carlson,132,0.08804729545454545
2Y,Learn to Invest - Investors Grow,8,0.002387125000000004
2Y,New Money,69,0.17674286956521737
2Y,Sasha Yanshin,114,0.42990147368421056
2Y,The Investor Channel,27,0.43053288888888885
2Y,The Plain Bagel,15,1.5665532000000002
2Y,The Swedish Investor,1,0.715799
2Y,Ticker Symbol: YOU,138,0.9738532826086956
2Y,Tom Nash,9,0.1929856666666667
2Y,ZipTrader,75,-0.73094036
3M,Ale's World of Stocks,38,0.0014071578947368437
3M,Best of Us Investors,7,-0.06865757142857143
3M,Chicken Genius Singapore,63,0.5221399523809525
3M,Chris Sain,15,0.0663908
3M,Couch Investor,67,-0.08421335820895522
3M,Daniel Pronk,55,0.03443845454545454
3M,Dividend Bull,1,0.080167
3M,Dividendology,6,-0.014137000000000004
3M,Dumb Money Live,15,0.08106819999999999
3M,Everything Money,56,-0.04506203571428571
3M,Financial Education,136,0.10334378676470589
3M,Graham Stephan,12,-0.07649425
3M,HyperChange,225,-0.04088953333333334
3M,Investing with Tom,7,0.07084571428571429
3M,Jose Najarro Stocks,108,0.10508849074074073
3M,Joseph Carlson,132,0.04287286363636364
3M,Kenan Grace,6,-0.1071935
3M,Learn to Invest - Investors Grow,16,0.08530025
3M,"Mark Roussin, CPA",56,0.06142919642857143
3M,Meet Kevin,26,-0.04432392307692308
3M,Minority Mindset,3,0.084413
3M,New Money,84,0.036119321428571424
3M,STOCK UP! with LARRY JONES,21,-0.104746
3M,Sasha Yanshin,138,0.03367591304347826
3M,Stock Moe,5,-0.0317766
3M,The Investor Channel,113,0.045196619469026554
3M,The Plain Bagel,30,-0.0148676
3M,The Swedish Investor,7,0.1790632857142857
3M,Ticker Symbol: YOU,192,0.0663750625
3M,Tom Nash,51,0.08846647058823529
