feature_set,target,status,n_train,n_test,accuracy,auc
market_plus_analyst,top5_positive_21d,computed,1056,453,0.6843267108167771,0.5746348699224099
market_plus_analyst_time,top5_positive_21d,computed,1056,453,0.7086092715231788,0.5518814003334127
market_plus_analyst_creator_out,top5_positive_21d,computed,875,634,0.6640378548895899,0.5971563981042655
market_plus_analyst_ticker_out,top5_positive_21d,insufficient,,971,,
market_plus_transcript,top5_positive_21d,computed,1056,453,0.6754966887417219,0.6067891373801917
market_plus_transcript_time,top5_positive_21d,computed,1056,453,0.7086092715231788,0.5442605382233865
market_plus_transcript_creator_out,top5_positive_21d,computed,875,634,0.6577287066246057,0.5881482975362173
market_plus_transcript_ticker_out,top5_positive_21d,insufficient,,971,,
full_model,top5_positive_21d,computed,1056,453,0.6754966887417219,0.5992697398448198
full_model_time,top5_positive_21d,computed,1056,453,0.7086092715231788,0.5517385091688497
full_model_creator_out,top5_positive_21d,computed,875,634,0.6640378548895899,0.5814202323731416
full_model_ticker_out,top5_positive_21d,insufficient,,971,,
