cluster,group_left_out,horizon,n_full,mean_full,mean_leave_one,influence
creator,HyperChange,21D,2322,0.0031728652593852537,0.005525745408282212,-0.0023528801488969585
creator,Investing with Tom,21D,2322,0.0031728652593852537,0.0031425986803888958,3.026657899635795e-05
creator,Jose Najarro Stocks,21D,2322,0.0031728652593852537,0.003284769481523567,-0.0001119042221383133
creator,Joseph Carlson,21D,2322,0.0031728652593852537,0.0029645309716638006,0.00020833428772145312
creator,Kenan Grace,21D,2322,0.0031728652593852537,0.0030960784775417934,7.678678184346033e-05
creator,Learn to Invest - Investors Grow,21D,2322,0.0031728652593852537,0.002562127389264118,0.0006107378701211358
creator,"Mark Roussin, CPA",21D,2322,0.0031728652593852537,0.002423430393757125,0.0007494348656281288
creator,Meet Kevin,21D,2322,0.0031728652593852537,0.003247971724112423,-7.51064647271692e-05
creator,Minority Mindset,21D,2322,0.0031728652593852537,0.003214218090953285,-4.1352831568031156e-05
creator,New Money,21D,2322,0.0031728652593852537,0.0031768937153801653,-4.028455994911639e-06
creator,"Parkev Tatevosian, CFA",21D,2322,0.0031728652593852537,0.0032557924309041257,-8.292717151887202e-05
creator,STOCK UP! with LARRY JONES,21D,2322,0.0031728652593852537,0.0033988503684160166,-0.00022598510903076288
creator,Sasha Yanshin,21D,2322,0.0031728652593852537,0.003693017952590154,-0.0005201526932049005
creator,Stock Moe,21D,2322,0.0031728652593852537,0.003290627134063951,-0.00011776187467869717
creator,The Investor Channel,21D,2322,0.0031728652593852537,-0.0022112142120619435,0.005384079471447197
creator,The Plain Bagel,21D,2322,0.0031728652593852537,0.003407388883094009,-0.00023452362370875515
creator,The Swedish Investor,21D,2322,0.0031728652593852537,0.0031844943579279147,-1.162909854266099e-05
creator,Ticker Symbol: YOU,21D,2322,0.0031728652593852537,0.0027959232068785495,0.0003769420525067042
creator,Tom Nash,21D,2322,0.0031728652593852537,0.0025118044561163603,0.0006610608032688934
creator,"Value Investing with Sven Carlin, Ph.D.",21D,2322,0.0031728652593852537,0.00275503446914296,0.0004178307902422936
creator,ZipTrader,21D,2322,0.0031728652593852537,0.007811795652091879,-0.004638930392706625
