as_of,spy_prior_21d_return,spy_prior_63d_return,spy_drawdown_from_63d_high,vix_level,vix_percentile_1y,vix_change_5d,vix_change_21d,sentiment_regime,event_id,ticker,top5_flag,high_confidence,vix_tercile,spy_trend_regime
2025-04-25,-0.03156935388359727,-0.09157260319957694,-0.09892397469877712,24.84,0.9126984126984127,-4.809999999999999,6.510000000000002,risk_off,523,TSLA,True,True,vix_high_tercile,spy_downtrend_21d
2025-10-22,0.006920811701554674,0.05553331589519739,-0.007888712127118946,18.6,0.6706349206349206,-2.039999999999999,1.9600000000000009,neutral,524,TSLA,True,True,vix_mid_tercile,spy_flat_21d
2025-10-22,0.006920811701554674,0.05553331589519739,-0.007888712127118946,18.6,0.6706349206349206,-2.039999999999999,1.9600000000000009,neutral,525,TSLA,True,True,vix_mid_tercile,spy_flat_21d
2025-10-22,0.006920811701554674,0.05553331589519739,-0.007888712127118946,18.6,0.6706349206349206,-2.039999999999999,1.9600000000000009,neutral,526,TSLA,True,True,vix_mid_tercile,spy_flat_21d
2025-10-22,0.006920811701554674,0.05553331589519739,-0.007888712127118946,18.6,0.6706349206349206,-2.039999999999999,1.9600000000000009,neutral,527,TSLA,True,True,vix_mid_tercile,spy_flat_21d
2025-10-22,0.006920811701554674,0.05553331589519739,-0.007888712127118946,18.6,0.6706349206349206,-2.039999999999999,1.9600000000000009,neutral,528,TSLA,True,True,vix_mid_tercile,spy_flat_21d
2025-10-22,0.006920811701554674,0.05553331589519739,-0.007888712127118946,18.6,0.6706349206349206,-2.039999999999999,1.9600000000000009,neutral,529,TSLA,True,True,vix_mid_tercile,spy_flat_21d
2025-10-22,0.006920811701554674,0.05553331589519739,-0.007888712127118946,18.6,0.6706349206349206,-2.039999999999999,1.9600000000000009,neutral,530,TSLA,True,True,vix_mid_tercile,spy_flat_21d
2025-10-22,0.006920811701554674,0.05553331589519739,-0.007888712127118946,18.6,0.6706349206349206,-2.039999999999999,1.9600000000000009,neutral,531,TSLA,True,True,vix_mid_tercile,spy_flat_21d
2025-10-22,0.006920811701554674,0.05553331589519739,-0.007888712127118946,18.6,0.6706349206349206,-2.039999999999999,1.9600000000000009,neutral,533,AMZN,True,True,vix_mid_tercile,spy_flat_21d
2026-03-30,-0.07623157795377478,-0.08201256556849823,-0.08884972579331007,30.61,0.9682539682539683,4.460000000000001,10.75,risk_off,534,NFLX,False,True,vix_high_tercile,spy_downtrend_21d
2026-03-30,-0.07623157795377478,-0.08201256556849823,-0.08884972579331007,30.61,0.9682539682539683,4.460000000000001,10.75,risk_off,535,NFLX,False,False,vix_high_tercile,spy_downtrend_21d
2024-12-16,0.02265102094196436,0.08095118088553765,-0.001678210454010176,14.69,0.5436507936507936,0.5,-1.450000000000001,risk_on,536,NVDA,True,True,vix_low_tercile,spy_uptrend_21d
2024-12-16,0.02265102094196436,0.08095118088553765,-0.001678210454010176,14.69,0.5436507936507936,0.5,-1.450000000000001,risk_on,537,AMD,True,True,vix_low_tercile,spy_uptrend_21d
2024-12-16,0.02265102094196436,0.08095118088553765,-0.001678210454010176,14.69,0.5436507936507936,0.5,-1.450000000000001,risk_on,538,AMD,True,True,vix_low_tercile,spy_uptrend_21d
2024-12-16,0.02265102094196436,0.08095118088553765,-0.001678210454010176,14.69,0.5436507936507936,0.5,-1.450000000000001,risk_on,539,AMZN,True,True,vix_low_tercile,spy_uptrend_21d
2024-12-16,0.02265102094196436,0.08095118088553765,-0.001678210454010176,14.69,0.5436507936507936,0.5,-1.450000000000001,risk_on,540,UBER,False,True,vix_low_tercile,spy_uptrend_21d
2024-12-16,0.02265102094196436,0.08095118088553765,-0.001678210454010176,14.69,0.5436507936507936,0.5,-1.450000000000001,risk_on,541,GOOGL,False,True,vix_low_tercile,spy_uptrend_21d
2024-12-16,0.02265102094196436,0.08095118088553765,-0.001678210454010176,14.69,0.5436507936507936,0.5,-1.450000000000001,risk_on,542,GOOGL,False,True,vix_low_tercile,spy_uptrend_21d
2024-04-15,-0.017346715580044192,0.06154513597662348,-0.035781931010359536,19.23,0.9563492063492064,4.040000000000001,4.83,neutral,544,MSFT,False,True,vix_high_tercile,spy_downtrend_21d
2024-04-15,-0.017346715580044192,0.06154513597662348,-0.035781931010359536,19.23,0.9563492063492064,4.040000000000001,4.83,neutral,545,MSFT,False,True,vix_high_tercile,spy_downtrend_21d
2024-04-15,-0.017346715580044192,0.06154513597662348,-0.035781931010359536,19.23,0.9563492063492064,4.040000000000001,4.83,neutral,546,AMZN,True,True,vix_high_tercile,spy_downtrend_21d
2024-04-15,-0.017346715580044192,0.06154513597662348,-0.035781931010359536,19.23,0.9563492063492064,4.040000000000001,4.83,neutral,547,TSLA,True,True,vix_high_tercile,spy_downtrend_21d
2024-04-15,-0.017346715580044192,0.06154513597662348,-0.035781931010359536,19.23,0.9563492063492064,4.040000000000001,4.83,neutral,548,NFLX,False,True,vix_high_tercile,spy_downtrend_21d
2024-11-25,0.03193229162754818,0.06731741335184105,-0.0020540865177588463,14.6,0.5277777777777778,-0.9800000000000004,-5.729999999999999,risk_on,549,NVDA,True,True,vix_low_tercile,spy_uptrend_21d
2024-11-25,0.03193229162754818,0.06731741335184105,-0.0020540865177588463,14.6,0.5277777777777778,-0.9800000000000004,-5.729999999999999,risk_on,550,MSFT,False,True,vix_low_tercile,spy_uptrend_21d
2024-11-25,0.03193229162754818,0.06731741335184105,-0.0020540865177588463,14.6,0.5277777777777778,-0.9800000000000004,-5.729999999999999,risk_on,551,MSFT,False,True,vix_low_tercile,spy_uptrend_21d
2024-11-25,0.03193229162754818,0.06731741335184105,-0.0020540865177588463,14.6,0.5277777777777778,-0.9800000000000004,-5.729999999999999,risk_on,552,AAPL,True,False,vix_low_tercile,spy_uptrend_21d
2024-11-25,0.03193229162754818,0.06731741335184105,-0.0020540865177588463,14.6,0.5277777777777778,-0.9800000000000004,-5.729999999999999,risk_on,553,AAPL,True,True,vix_low_tercile,spy_uptrend_21d
2024-11-18,0.006089719098156143,0.05594066672853626,-0.017719868503598635,15.58,0.6666666666666666,0.6099999999999994,-2.450000000000001,neutral,554,UBER,False,True,vix_low_tercile,spy_flat_21d
2025-11-04,0.005404996345060642,0.07005926304644983,-0.01767559484874448,19.0,0.7103174603174603,2.5799999999999983,2.629999999999999,neutral,555,AMD,True,True,vix_mid_tercile,spy_flat_21d
2025-11-04,0.005404996345060642,0.07005926304644983,-0.01767559484874448,19.0,0.7103174603174603,2.5799999999999983,2.629999999999999,neutral,556,AMD,True,True,vix_mid_tercile,spy_flat_21d
2025-11-04,0.005404996345060642,0.07005926304644983,-0.01767559484874448,19.0,0.7103174603174603,2.5799999999999983,2.629999999999999,neutral,557,AMD,True,True,vix_mid_tercile,spy_flat_21d
2025-11-04,0.005404996345060642,0.07005926304644983,-0.01767559484874448,19.0,0.7103174603174603,2.5799999999999983,2.629999999999999,neutral,558,AMD,True,True,vix_mid_tercile,spy_flat_21d
