event_id,ticker,company_name,event_date,filing_count_pm1,filing_count_pm3,filing_count_pm5,eight_k_pm5_flag,ten_q_or_k_pm5_flag,offering_registration_pm5_flag,ownership_or_insider_pm5_flag,earnings_proxy_flag,sec_material_event_confounded_flag,sec_routine_filing_flag,sec_unknown_flag,sec_clean_expanded_flag,reason_codes
782,PYPL,PayPal,2025-12-09,0,0,0,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
783,SMCI,Super Micro,2024-08-06,1,1,1,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag
784,NFLX,Netflix,2024-01-26,9,14,14,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
785,AAPL,Apple,2024-02-01,7,7,16,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
786,AMZN,Amazon,2024-02-01,4,6,7,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
787,MSFT,Microsoft,2025-06-20,0,2,3,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
788,NVDA,Nvidia,2024-09-07,2,8,12,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
789,GOOGL,Alphabet,2024-09-07,1,6,10,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
790,AAPL,Apple,2023-12-26,0,0,0,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
791,AAPL,Apple,2023-12-26,0,0,0,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
792,HOOD,Robinhood,2026-04-23,3,4,5,True,False,False,True,False,True,False,False,False,8k_window;ownership_insider_window;material_filing_flag
793,HOOD,Robinhood,2026-04-23,3,4,5,True,False,False,True,False,True,False,False,False,8k_window;ownership_insider_window;material_filing_flag
794,HOOD,Robinhood,2026-04-23,3,4,5,True,False,False,True,False,True,False,False,False,8k_window;ownership_insider_window;material_filing_flag
795,MSFT,Microsoft,2024-01-30,2,14,14,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
796,GOOGL,Alphabet,2024-01-30,5,7,8,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
797,AMZN,Amazon,2024-08-01,2,3,4,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
798,AMZN,Amazon,2024-08-01,2,3,4,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
799,DIS,Disney,2022-11-17,0,0,4,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag
800,AAPL,Apple,2024-06-07,0,0,1,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
801,GOOGL,Alphabet,2024-06-07,1,5,9,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag
802,AMZN,Amazon,2024-02-13,6,11,14,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
803,AMD,nan,2025-11-12,0,1,1,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
804,NVDA,Nvidia,2025-12-17,1,6,15,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
805,NFLX,Netflix,2022-10-11,0,0,0,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
806,UBER,Uber,2026-04-17,1,16,16,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
807,PYPL,PayPal,2025-11-30,1,1,1,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
808,PYPL,PayPal,2026-02-05,2,5,6,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
809,AMZN,Amazon,2024-02-07,2,6,10,False,True,False,False,True,True,False,False,False,10q_10k_window;material_filing_flag
810,AMZN,Amazon,2026-03-01,0,2,9,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag
811,PYPL,PayPal,2025-12-28,0,0,0,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
812,NVDA,Nvidia,2026-01-03,1,2,3,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
813,AMZN,Amazon,2026-04-26,0,5,8,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
814,PYPL,PayPal,2024-04-29,2,3,3,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
815,AMD,nan,2024-04-29,1,2,2,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
816,AMZN,Amazon,2025-04-16,1,3,4,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
817,AMZN,Amazon,2025-04-16,1,3,4,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
818,TSLA,Tesla,2025-03-19,0,0,0,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
819,AMZN,Amazon,2025-03-19,0,0,0,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
820,NVDA,Nvidia,2024-05-22,2,4,4,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag
821,NVDA,Nvidia,2024-05-22,2,4,4,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag
822,AMZN,Amazon,2025-01-12,0,0,0,True,False,False,False,False,True,False,False,False,8k_window
823,TSLA,Tesla,2025-01-12,0,0,2,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
824,TSLA,Tesla,2025-01-12,0,0,2,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
825,GOOGL,Alphabet,2025-01-12,2,6,6,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
826,UBER,Uber,2026-04-26,1,3,4,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
827,UBER,Uber,2026-04-26,1,3,4,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
828,MSFT,Microsoft,2024-03-27,0,0,0,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
829,AMZN,Amazon,2024-03-27,1,2,3,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
830,GOOGL,Alphabet,2024-03-27,8,10,11,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
831,NVDA,Nvidia,2024-03-27,2,3,11,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
832,META,Meta,2026-01-16,2,4,9,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag
833,NVDA,Nvidia,2026-01-29,1,3,3,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
834,GOOGL,Alphabet,2024-04-25,8,8,10,True,True,False,True,True,True,False,False,False,8k_window;10q_10k_window;ownership_insider_window;material_filing_flag
835,GOOGL,Alphabet,2024-04-25,8,8,10,True,True,False,True,True,True,False,False,False,8k_window;10q_10k_window;ownership_insider_window;material_filing_flag
836,GOOGL,Alphabet,2026-02-04,6,7,10,True,True,True,True,True,True,False,False,False,8k_window;10q_10k_window;offering_registration_window;ownership_insider_window;material_filing_flag
837,NVDA,Nvidia,2025-05-03,0,1,1,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
838,GOOGL,Alphabet,2025-05-03,1,9,19,True,False,True,True,False,True,False,False,False,8k_window;offering_registration_window;ownership_insider_window;material_filing_flag
839,AMZN,Amazon,2025-05-03,2,5,6,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
840,SOFI,SoFi,2025-06-11,9,9,9,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
841,SOFI,SoFi,2025-06-11,9,9,9,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
842,NVDA,Nvidia,2024-12-14,8,9,11,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
843,GOOGL,Alphabet,2024-12-14,1,7,18,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
844,MSFT,Microsoft,2024-12-14,8,11,23,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag
845,AAPL,Apple,2024-05-16,2,3,3,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
846,AAPL,Apple,2024-05-16,2,3,3,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
847,AMZN,Amazon,2024-11-29,0,0,8,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
848,TSLA,Tesla,2024-11-29,0,2,5,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
849,AAPL,Apple,2024-11-29,0,0,0,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
850,MSFT,Microsoft,2024-11-29,0,3,6,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag
851,AMD,nan,2026-01-30,0,0,3,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
852,TSLA,Tesla,2026-01-29,2,2,2,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
853,TSLA,Tesla,2026-01-29,2,2,2,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
854,AMZN,Amazon,2026-01-29,0,0,0,True,False,False,False,False,True,False,False,False,8k_window
855,MSFT,Microsoft,2026-01-29,3,3,14,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
856,SOFI,SoFi,2026-01-04,1,1,3,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag
857,GOOGL,Alphabet,2025-04-22,0,6,8,True,True,False,True,True,True,False,False,False,8k_window;10q_10k_window;ownership_insider_window;material_filing_flag
858,META,Meta,2026-04-27,3,10,13,True,True,True,True,True,True,False,False,False,8k_window;10q_10k_window;offering_registration_window;ownership_insider_window;material_filing_flag
859,META,Meta,2026-04-24,0,4,8,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag
860,META,Meta,2026-04-24,0,4,8,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag
861,GOOGL,Alphabet,2022-11-30,0,0,0,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
862,PYPL,PayPal,2026-02-15,0,4,5,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
863,AMZN,Amazon,2026-04-24,2,3,6,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag
864,AMZN,Amazon,2026-04-24,2,3,6,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag
865,GOOGL,Alphabet,2024-04-17,3,4,5,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
866,NVDA,Nvidia,2026-02-25,2,2,2,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
