relative_path,exists,git_tracked,git_ignored,size_bytes,size_mb,sha256,category,safe_to_commit,reason,required_for_reproduction,replacement_or_rebuild_command
data/raw/x/counts/20260514T234243Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260514T235402Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260515T000858Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260515T232644Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260516T174712Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260516T181139Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260516T183917Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260516T191204Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260516T201139Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260516T201640Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260516T213721Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260516T215831Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260517T001303Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260517T003744Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260517T004225Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260517T011817Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/youtube/20260508T200041Z_playlist_UCtest_page_1.json,True,False,True,3886,0.004,118458412f2a3427c5f69b8b2434b967cb8ffd400035f1226575d8559e8b6b40,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/youtube/20260508T200041Z_playlist_UCtest_page_2.json,True,False,True,3896,0.004,ec4027dd1ae0cad32aed288748659b13b0b7712ce76d3451696021c22760321a,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/youtube/20260508T200041Z_playlist_UCtest_page_3.json,True,False,True,3946,0.004,f78830549ce8bad2747da6785049523ec4f39b6ada857ba54ce0c8e9e88a64d0,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/youtube/20260508T200041Z_playlist_UCtest_page_4.json,True,False,True,3946,0.004,7d548b3a9fa37bf093102d9336aa7ca2c8ae2ecb0100b7c881bb113a5436fe41,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/youtube/20260511T020834Z_playlist_UCtest_page_1.json,True,False,True,3886,0.004,118458412f2a3427c5f69b8b2434b967cb8ffd400035f1226575d8559e8b6b40,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/youtube/20260511T020834Z_playlist_UCtest_page_2.json,True,False,True,3896,0.004,ec4027dd1ae0cad32aed288748659b13b0b7712ce76d3451696021c22760321a,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/youtube/20260511T020834Z_playlist_UCtest_page_3.json,True,False,True,3946,0.004,f78830549ce8bad2747da6785049523ec4f39b6ada857ba54ce0c8e9e88a64d0,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/youtube/20260511T020834Z_playlist_UCtest_page_4.json,True,False,True,3946,0.004,7d548b3a9fa37bf093102d9336aa7ca2c8ae2ecb0100b7c881bb113a5436fe41,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/youtube/20260511T172556Z_playlist_UCtest_page_1.json,True,False,True,3886,0.004,118458412f2a3427c5f69b8b2434b967cb8ffd400035f1226575d8559e8b6b40,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/youtube/20260511T172556Z_playlist_UCtest_page_2.json,True,False,True,3896,0.004,ec4027dd1ae0cad32aed288748659b13b0b7712ce76d3451696021c22760321a,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/youtube/20260511T172556Z_playlist_UCtest_page_3.json,True,False,True,3946,0.004,f78830549ce8bad2747da6785049523ec4f39b6ada857ba54ce0c8e9e88a64d0,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/youtube/20260511T172556Z_playlist_UCtest_page_4.json,True,False,True,3946,0.004,7d548b3a9fa37bf093102d9336aa7ca2c8ae2ecb0100b7c881bb113a5436fe41,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/youtube/20260511T181651Z_playlist_UCtest_page_1.json,True,False,True,3886,0.004,118458412f2a3427c5f69b8b2434b967cb8ffd400035f1226575d8559e8b6b40,raw_private,False,private or bulky; gitignored by policy,False,
