event_id,ticker,creator,recommendation_type,event_date,horizon,model,alpha,top5_flag,low_lookahead_flag,duplicate_cluster_id,status
21,NVDA,Jose Najarro Stocks,buy,2025-08-27,5D,SPY_adjusted,-0.058586,True,False,21,computed
21,NVDA,Jose Najarro Stocks,buy,2025-08-27,5D,FF3,-0.067985,True,False,21,computed
21,NVDA,Jose Najarro Stocks,buy,2025-08-27,5D,FF5,-0.062732,True,False,21,computed
21,NVDA,Jose Najarro Stocks,buy,2025-08-27,5D,Carhart,-0.068751,True,False,21,computed
22,NVDA,Jose Najarro Stocks,buy,2025-08-27,1D,SPY_adjusted,-0.011416,True,False,21,computed
22,NVDA,Jose Najarro Stocks,buy,2025-08-27,1D,FF3,-0.023754,True,False,21,computed
22,NVDA,Jose Najarro Stocks,buy,2025-08-27,1D,FF5,-0.019685,True,False,21,computed
22,NVDA,Jose Najarro Stocks,buy,2025-08-27,1D,Carhart,-0.024894,True,False,21,computed
22,NVDA,Jose Najarro Stocks,buy,2025-08-27,5D,SPY_adjusted,-0.058586,True,False,21,computed
22,NVDA,Jose Najarro Stocks,buy,2025-08-27,5D,FF3,-0.067985,True,False,21,computed
22,NVDA,Jose Najarro Stocks,buy,2025-08-27,5D,FF5,-0.062732,True,False,21,computed
22,NVDA,Jose Najarro Stocks,buy,2025-08-27,5D,Carhart,-0.068751,True,False,21,computed
23,DIS,The Investor Channel,buy,2023-10-06,1D,SPY_adjusted,0.014818,False,False,22,computed
23,DIS,The Investor Channel,buy,2023-10-06,1D,FF3,0.016550,False,False,22,computed
23,DIS,The Investor Channel,buy,2023-10-06,1D,FF5,0.021462,False,False,22,computed
23,DIS,The Investor Channel,buy,2023-10-06,1D,Carhart,0.017280,False,False,22,computed
23,DIS,The Investor Channel,buy,2023-10-06,5D,SPY_adjusted,0.012437,False,False,22,computed
23,DIS,The Investor Channel,buy,2023-10-06,5D,FF3,0.024912,False,False,22,computed
23,DIS,The Investor Channel,buy,2023-10-06,5D,FF5,0.029985,False,False,22,computed
