event_id,ticker,creator,recommendation_type,event_date,horizon,model,alpha,top5_flag,low_lookahead_flag,duplicate_cluster_id,right_censored,beta_window,beta_observations,status
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,63D,CAPM,,False,True,,False,252to21,232,missing_event_window_factor_or_price
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,126D,CAPM,,False,True,,True,252to21,232,missing_event_window_factor_or_price
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,252D,CAPM,,False,True,,True,252to21,232,missing_event_window_factor_or_price
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,5D,FF3,0.014028,False,True,,False,252to21,232,computed
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,21D,FF3,0.004382,False,True,,False,252to21,232,computed
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,63D,FF3,,False,True,,False,252to21,232,missing_event_window_factor_or_price
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,126D,FF3,,False,True,,True,252to21,232,missing_event_window_factor_or_price
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,252D,FF3,,False,True,,True,252to21,232,missing_event_window_factor_or_price
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,5D,FF5,0.016967,False,True,,False,252to21,232,computed
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,21D,FF5,0.005398,False,True,,False,252to21,232,computed
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,63D,FF5,,False,True,,False,252to21,232,missing_event_window_factor_or_price
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,126D,FF5,,False,True,,True,252to21,232,missing_event_window_factor_or_price
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,252D,FF5,,False,True,,True,252to21,232,missing_event_window_factor_or_price
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,5D,Carhart,0.012581,False,True,,False,252to21,232,computed
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,21D,Carhart,0.005843,False,True,,False,252to21,232,computed
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,63D,Carhart,,False,True,,False,252to21,232,missing_event_window_factor_or_price
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,126D,Carhart,,False,True,,True,252to21,232,missing_event_window_factor_or_price
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,252D,Carhart,,False,True,,True,252to21,232,missing_event_window_factor_or_price
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,5D,FF5_MOM,0.014537,False,True,,False,252to21,232,computed
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,21D,FF5_MOM,0.007804,False,True,,False,252to21,232,computed
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,63D,FF5_MOM,,False,True,,False,252to21,232,missing_event_window_factor_or_price
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,126D,FF5_MOM,,False,True,,True,252to21,232,missing_event_window_factor_or_price
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,252D,FF5_MOM,,False,True,,True,252to21,232,missing_event_window_factor_or_price
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,5D,CAPM,-0.049116,False,True,,False,252to21,232,computed
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,21D,CAPM,-0.012633,False,True,,False,252to21,232,computed
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,63D,CAPM,,False,True,,False,252to21,232,missing_event_window_factor_or_price
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,126D,CAPM,,False,True,,True,252to21,232,missing_event_window_factor_or_price
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,252D,CAPM,,False,True,,True,252to21,232,missing_event_window_factor_or_price
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,5D,FF3,-0.047990,False,True,,False,252to21,232,computed
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,21D,FF3,-0.034569,False,True,,False,252to21,232,computed
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,63D,FF3,,False,True,,False,252to21,232,missing_event_window_factor_or_price
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,126D,FF3,,False,True,,True,252to21,232,missing_event_window_factor_or_price
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,252D,FF3,,False,True,,True,252to21,232,missing_event_window_factor_or_price
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,5D,FF5,-0.048402,False,True,,False,252to21,232,computed
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,21D,FF5,-0.039912,False,True,,False,252to21,232,computed
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,63D,FF5,,False,True,,False,252to21,232,missing_event_window_factor_or_price
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,126D,FF5,,False,True,,True,252to21,232,missing_event_window_factor_or_price
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,252D,FF5,,False,True,,True,252to21,232,missing_event_window_factor_or_price
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,5D,Carhart,-0.048362,False,True,,False,252to21,232,computed
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,21D,Carhart,-0.034194,False,True,,False,252to21,232,computed
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,63D,Carhart,,False,True,,False,252to21,232,missing_event_window_factor_or_price
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,126D,Carhart,,False,True,,True,252to21,232,missing_event_window_factor_or_price
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,252D,Carhart,,False,True,,True,252to21,232,missing_event_window_factor_or_price
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,5D,FF5_MOM,-0.045209,False,True,,False,252to21,232,computed
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,21D,FF5_MOM,-0.043074,False,True,,False,252to21,232,computed
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,63D,FF5_MOM,,False,True,,False,252to21,232,missing_event_window_factor_or_price
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,126D,FF5_MOM,,False,True,,True,252to21,232,missing_event_window_factor_or_price
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,252D,FF5_MOM,,False,True,,True,252to21,232,missing_event_window_factor_or_price
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,5D,CAPM,0.004991,True,True,,False,252to21,232,computed
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,21D,CAPM,0.012476,True,True,,False,252to21,232,computed
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,63D,CAPM,,True,True,,False,252to21,232,missing_event_window_factor_or_price
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,126D,CAPM,,True,True,,True,252to21,232,missing_event_window_factor_or_price
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,252D,CAPM,,True,True,,True,252to21,232,missing_event_window_factor_or_price
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,5D,FF3,0.009299,True,True,,False,252to21,232,computed
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,21D,FF3,-0.055000,True,True,,False,252to21,232,computed
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,63D,FF3,,True,True,,False,252to21,232,missing_event_window_factor_or_price
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,126D,FF3,,True,True,,True,252to21,232,missing_event_window_factor_or_price
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,252D,FF3,,True,True,,True,252to21,232,missing_event_window_factor_or_price
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,5D,FF5,0.003843,True,True,,False,252to21,232,computed
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,21D,FF5,-0.055049,True,True,,False,252to21,232,computed
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,63D,FF5,,True,True,,False,252to21,232,missing_event_window_factor_or_price
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,126D,FF5,,True,True,,True,252to21,232,missing_event_window_factor_or_price
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,252D,FF5,,True,True,,True,252to21,232,missing_event_window_factor_or_price
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,5D,Carhart,0.004580,True,True,,False,252to21,232,computed
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,21D,Carhart,-0.050237,True,True,,False,252to21,232,computed
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,63D,Carhart,,True,True,,False,252to21,232,missing_event_window_factor_or_price
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,126D,Carhart,,True,True,,True,252to21,232,missing_event_window_factor_or_price
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,252D,Carhart,,True,True,,True,252to21,232,missing_event_window_factor_or_price
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,5D,FF5_MOM,-0.008713,True,True,,False,252to21,232,computed
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,21D,FF5_MOM,-0.042619,True,True,,False,252to21,232,computed
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,63D,FF5_MOM,,True,True,,False,252to21,232,missing_event_window_factor_or_price
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,126D,FF5_MOM,,True,True,,True,252to21,232,missing_event_window_factor_or_price
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,252D,FF5_MOM,,True,True,,True,252to21,232,missing_event_window_factor_or_price
10,NFLX,"Parkev Tatevosian, CFA",buy,2026-02-06,5D,CAPM,-0.049550,False,True,,False,252to21,232,computed
10,NFLX,"Parkev Tatevosian, CFA",buy,2026-02-06,21D,CAPM,0.214463,False,True,,False,252to21,232,computed
