provider,event_id,ticker,query_status,error_class_safe
alpha_vantage_news,184,GOOGL,unknown_or_limited,
alpha_vantage_news,185,MSFT,unknown_or_limited,
alpha_vantage_news,186,DIS,unknown_or_limited,
alpha_vantage_news,187,NVDA,unknown_or_limited,
alpha_vantage_news,189,NVDA,unknown_or_limited,
alpha_vantage_news,190,MSFT,unknown_or_limited,
alpha_vantage_news,191,MSFT,unknown_or_limited,
alpha_vantage_news,192,MSFT,unknown_or_limited,
alpha_vantage_news,194,NVDA,unknown_or_limited,
alpha_vantage_news,195,PYPL,unknown_or_limited,
alpha_vantage_news,196,SOFI,unknown_or_limited,
alpha_vantage_news,197,GOOGL,unknown_or_limited,
alpha_vantage_news,202,NVDA,unknown_or_limited,
alpha_vantage_news,203,NVDA,unknown_or_limited,
alpha_vantage_news,204,UBER,unknown_or_limited,
alpha_vantage_news,205,UBER,unknown_or_limited,
alpha_vantage_news,208,NVDA,unknown_or_limited,
alpha_vantage_news,209,GOOGL,unknown_or_limited,
alpha_vantage_news,210,PYPL,unknown_or_limited,
alpha_vantage_news,214,NVDA,unknown_or_limited,
alpha_vantage_news,215,NVDA,unknown_or_limited,
alpha_vantage_news,216,TSLA,unknown_or_limited,
alpha_vantage_news,217,NVDA,unknown_or_limited,
alpha_vantage_news,218,PYPL,unknown_or_limited,
alpha_vantage_news,219,NFLX,unknown_or_limited,
alpha_vantage_news,223,TSLA,unknown_or_limited,
alpha_vantage_news,224,GOOGL,unknown_or_limited,
alpha_vantage_news,226,NVDA,unknown_or_limited,
alpha_vantage_news,227,NVDA,unknown_or_limited,
alpha_vantage_news,228,NVDA,unknown_or_limited,
alpha_vantage_news,229,SHOP,unknown_or_limited,
alpha_vantage_news,230,META,unknown_or_limited,
alpha_vantage_news,232,MSFT,unknown_or_limited,
alpha_vantage_news,233,GOOGL,unknown_or_limited,
alpha_vantage_news,234,NFLX,unknown_or_limited,
alpha_vantage_news,235,UBER,unknown_or_limited,
alpha_vantage_news,236,MSFT,unknown_or_limited,
alpha_vantage_news,237,MSFT,unknown_or_limited,
alpha_vantage_news,238,TSLA,unknown_or_limited,
alpha_vantage_news,239,TSLA,unknown_or_limited,
alpha_vantage_news,244,DIS,unknown_or_limited,
alpha_vantage_news,247,TSLA,unknown_or_limited,
alpha_vantage_news,248,META,unknown_or_limited,
alpha_vantage_news,249,MSFT,unknown_or_limited,
alpha_vantage_news,250,MSFT,unknown_or_limited,
alpha_vantage_news,251,MSFT,unknown_or_limited,
alpha_vantage_news,252,NVDA,unknown_or_limited,
alpha_vantage_news,253,PYPL,unknown_or_limited,
alpha_vantage_news,254,NVDA,unknown_or_limited,
alpha_vantage_news,255,SOFI,unknown_or_limited,
alpha_vantage_news,258,NVDA,unknown_or_limited,
alpha_vantage_news,262,GOOGL,unknown_or_limited,
alpha_vantage_news,263,MSFT,unknown_or_limited,
alpha_vantage_news,264,MSFT,unknown_or_limited,
alpha_vantage_news,265,MSFT,unknown_or_limited,
alpha_vantage_news,266,TSLA,unknown_or_limited,
alpha_vantage_news,267,GOOGL,unknown_or_limited,
alpha_vantage_news,268,MSFT,unknown_or_limited,
alpha_vantage_news,269,TSLA,unknown_or_limited,
alpha_vantage_news,270,TSLA,unknown_or_limited,
alpha_vantage_news,273,NVDA,unknown_or_limited,
alpha_vantage_news,274,MSFT,unknown_or_limited,
alpha_vantage_news,275,MSFT,unknown_or_limited,
alpha_vantage_news,278,UBER,unknown_or_limited,
alpha_vantage_news,279,NFLX,unknown_or_limited,
alpha_vantage_news,280,NVDA,unknown_or_limited,
alpha_vantage_news,281,MSFT,unknown_or_limited,
alpha_vantage_news,285,GOOGL,unknown_or_limited,
alpha_vantage_news,286,NFLX,unknown_or_limited,
alpha_vantage_news,287,MSFT,unknown_or_limited,
alpha_vantage_news,289,NVDA,unknown_or_limited,
alpha_vantage_news,291,NVDA,unknown_or_limited,
alpha_vantage_news,293,GOOGL,unknown_or_limited,
alpha_vantage_news,294,MSFT,unknown_or_limited,
alpha_vantage_news,295,TSLA,unknown_or_limited,
alpha_vantage_news,296,NVDA,unknown_or_limited,
alpha_vantage_news,297,NVDA,unknown_or_limited,
alpha_vantage_news,298,GOOGL,unknown_or_limited,
alpha_vantage_news,299,MSFT,unknown_or_limited,
alpha_vantage_news,300,GOOGL,unknown_or_limited,
alpha_vantage_news,301,MSFT,unknown_or_limited,
alpha_vantage_news,302,PYPL,unknown_or_limited,
