sample_mode,horizon,benchmark,N,mean_abnormal_return,median_abnormal_return,standard_deviation,standard_error,t_stat,p_value,win_rate,bootstrap_ci_lower,bootstrap_ci_upper
balanced_creator_year_sample,2Y,QQQ,53,0.601978,0.073851,1.396897,0.191879,3.1373,0.00280661,0.528302,0.266249,1.006821
balanced_creator_year_sample,2Y,IWM,53,0.8964,0.501557,1.410853,0.193796,4.6255,2.515e-05,0.754717,0.559023,1.298493
balanced_creator_year_sample,2Y,SECTOR,52,0.711047,0.158552,1.357943,0.188313,3.7759,0.00041755,0.596154,0.367059,1.076144
balanced_creator_year_sample,3M,SPY,124,0.060411,0.019135,0.249832,0.022436,2.6926,0.00807723,0.564516,0.017104,0.103591
balanced_creator_year_sample,3M,QQQ,124,0.048921,0.007119,0.241106,0.021652,2.2594,0.0256156,0.516129,0.006746,0.090279
balanced_creator_year_sample,3M,IWM,124,0.06941,0.040973,0.255079,0.022907,3.0301,0.00298063,0.548387,0.024804,0.113849
balanced_creator_year_sample,3M,SECTOR,123,0.068965,0.015429,0.224125,0.020209,3.4126,0.00087352,0.601626,0.031317,0.109808
balanced_creator_year_sample,3W,SPY,146,0.014086,0.005583,0.122823,0.010165,1.3858,0.16794547,0.554795,-0.005299,0.033574
balanced_creator_year_sample,3W,QQQ,146,0.010572,0.002554,0.117894,0.009757,1.0836,0.28036044,0.520548,-0.007553,0.029421
balanced_creator_year_sample,3W,IWM,146,0.016665,0.00853,0.123992,0.010262,1.624,0.10654045,0.520548,-0.003096,0.03749
balanced_creator_year_sample,3W,SECTOR,145,0.019643,-0.00068,0.10646,0.008841,2.2217,0.02786057,0.496552,0.003267,0.038065
balanced_creator_year_sample,6M,SPY,99,0.168772,0.08261,0.408509,0.041057,4.1107,8.202e-05,0.636364,0.09014,0.243587
balanced_creator_year_sample,6M,QQQ,99,0.139304,0.053162,0.398,0.040001,3.4826,0.00074368,0.606061,0.062973,0.212384
balanced_creator_year_sample,6M,IWM,99,0.186998,0.094858,0.414374,0.041646,4.4902,1.945e-05,0.656566,0.104106,0.265971
balanced_creator_year_sample,6M,SECTOR,98,0.165233,0.056486,0.37811,0.038195,4.3261,3.688e-05,0.642857,0.092396,0.238765
balanced_creator_year_sample,END_OF_SAMPLE,SPY,147,0.53061,0.074443,1.567789,0.129309,4.1034,6.742e-05,0.62585,0.295963,0.795667
balanced_creator_year_sample,END_OF_SAMPLE,QQQ,147,0.344428,-0.031573,1.518602,0.125252,2.7499,0.00671604,0.462585,0.116795,0.600256
balanced_creator_year_sample,END_OF_SAMPLE,IWM,147,0.600591,0.09476,1.629519,0.1344,4.4687,1.568e-05,0.605442,0.36073,0.874204
balanced_creator_year_sample,END_OF_SAMPLE,SECTOR,146,0.476337,0.06766,1.513864,0.125288,3.8019,0.00021087,0.547945,0.267526,0.720304
