strategy,sequence,event_date,equity,drawdown
long_top5_buys,278,2024-02-13,99.938349,-0.391092
long_top5_buys,279,2024-02-13,93.185816,-0.432234
long_top5_buys,280,2024-02-13,113.391643,-0.309123
long_top5_buys,281,2024-02-13,99.847711,-0.391644
long_top5_buys,282,2024-02-13,93.101302,-0.432749
long_top5_buys,283,2024-02-13,81.980926,-0.500504
long_top5_buys,284,2024-02-13,72.188810,-0.560165
long_top5_buys,285,2024-02-13,63.566302,-0.612701
long_top5_buys,286,2024-02-13,55.973700,-0.658961
long_top5_buys,287,2024-02-13,49.287986,-0.699696
long_top5_buys,288,2024-02-13,43.400841,-0.735566
long_top5_buys,289,2024-02-13,38.216878,-0.767151
long_top5_buys,290,2024-02-13,33.652108,-0.794963
long_top5_buys,291,2024-02-13,29.632571,-0.819454
long_top5_buys,292,2024-02-17,31.521814,-0.807943
long_top5_buys,293,2024-02-21,42.640124,-0.740201
long_top5_buys,294,2024-02-22,51.087503,-0.688732
long_top5_buys,295,2024-02-22,61.208381,-0.627067
long_top5_buys,296,2024-02-22,73.334293,-0.553186
long_top5_buys,297,2024-02-22,87.862452,-0.464668
long_top5_buys,298,2024-02-23,78.791103,-0.519939
long_top5_buys,299,2024-02-23,80.719356,-0.508190
long_top5_buys,300,2024-02-24,94.268102,-0.425640
long_top5_buys,301,2024-02-24,110.091006,-0.329233
long_top5_buys,302,2024-02-26,128.569785,-0.216645
long_top5_buys,303,2024-02-26,129.607032,-0.210325
long_top5_buys,304,2024-02-26,130.652648,-0.203955
long_top5_buys,305,2024-02-26,152.582699,-0.070338
long_top5_buys,306,2024-02-29,173.909112,0.000000
long_top5_buys,307,2024-03-01,142.569946,-0.180204
long_top5_buys,308,2024-03-01,116.878232,-0.327935
long_top5_buys,309,2024-03-05,116.505807,-0.330076
long_top5_buys,310,2024-03-08,115.491204,-0.335911
long_top5_buys,311,2024-03-08,114.485436,-0.341694
long_top5_buys,312,2024-03-09,115.887644,-0.333631
long_top5_buys,313,2024-03-09,117.307027,-0.325469
long_top5_buys,314,2024-03-09,113.047869,-0.349960
long_top5_buys,315,2024-03-09,94.958173,-0.453978
long_top5_buys,316,2024-03-14,92.622827,-0.467407
long_top5_buys,317,2024-03-14,92.225310,-0.469692
long_top5_buys,318,2024-03-15,96.700664,-0.443959
long_top5_buys,319,2024-03-15,94.643901,-0.455785
long_top5_buys,320,2024-03-17,84.414678,-0.514605
long_top5_buys,321,2024-03-17,75.291042,-0.567067
long_top5_buys,322,2024-03-22,75.384834,-0.566527
long_top5_buys,323,2024-03-22,63.656747,-0.633965
long_top5_buys,324,2024-03-22,55.486591,-0.680945
long_top5_buys,325,2024-03-27,55.283077,-0.682115
long_top5_buys,326,2024-03-27,53.604299,-0.691768
long_top5_buys,327,2024-04-04,56.628090,-0.674381
long_top5_buys,328,2024-04-11,56.016240,-0.677899
long_top5_buys,329,2024-04-11,55.411000,-0.681380
long_top5_buys,330,2024-04-12,55.544586,-0.680611
long_top5_buys,331,2024-04-13,60.933356,-0.649625
long_top5_buys,332,2024-04-13,61.925892,-0.643918
long_top5_buys,333,2024-04-18,73.141855,-0.579425
long_top5_buys,334,2024-04-19,90.793325,-0.477927
long_top5_buys,335,2024-04-22,119.041124,-0.315498
long_top5_buys,336,2024-04-23,147.894947,-0.149585
long_top5_buys,337,2024-04-23,183.742512,0.000000
long_top5_buys,338,2024-04-23,228.279002,0.000000
long_top5_buys,339,2024-04-23,283.610484,0.000000
long_top5_buys,340,2024-04-23,352.353505,0.000000
long_top5_buys,341,2024-04-23,437.758826,0.000000
long_top5_buys,342,2024-04-24,468.011990,0.000000
long_top5_buys,343,2024-04-25,491.757900,0.000000
long_top5_buys,344,2024-04-26,515.249376,0.000000
long_top5_buys,345,2024-04-26,521.218687,0.000000
long_top5_buys,346,2024-04-26,584.406777,0.000000
long_top5_buys,347,2024-04-30,613.830226,0.000000
long_top5_buys,348,2024-05-02,591.094699,-0.037039
long_top5_buys,349,2024-05-03,568.673053,-0.073566
long_top5_buys,350,2024-05-03,602.087574,-0.019130
long_top5_buys,351,2024-05-06,648.380982,0.000000
long_top5_buys,352,2024-05-06,698.233805,0.000000
long_top5_buys,353,2024-05-07,696.998731,-0.001769
long_top5_buys,354,2024-05-11,696.451678,-0.002552
long_top5_buys,355,2024-05-11,695.905055,-0.003335
long_top5_buys,356,2024-05-16,792.517223,0.000000
long_top5_buys,357,2024-05-16,902.542011,0.000000
long_top5_buys,358,2024-05-17,937.921209,0.000000
long_top5_buys,359,2024-05-17,974.687253,0.000000
long_top5_buys,360,2024-05-17,1097.609202,0.000000
long_top5_buys,361,2024-05-20,1511.891270,0.000000
long_top5_buys,362,2024-05-21,2002.550211,0.000000
long_top5_buys,363,2024-05-21,2652.444277,0.000000
long_top5_buys,364,2024-05-22,2885.352809,0.000000
