creator,horizon,event_count,mean_spy_bhar,t_spy_bhar,p_spy_bhar,median_spy_bhar,win_rate_spy_bhar,right_censored
"Value Investing with Sven Carlin, Ph.D.",504D,43,0.100657,3.240,0.001194,0.137930,0.8837,43
"Value Investing with Sven Carlin, Ph.D.",5D,43,0.003970,0.612,0.540260,-0.004256,0.4884,0
"Value Investing with Sven Carlin, Ph.D.",63D,43,0.068266,3.968,0.000072,0.075530,0.6512,21
"Value Investing with Sven Carlin, Ph.D.",end_of_sample,43,0.100657,3.240,0.001194,0.137930,0.8837,0
ZipTrader,126D,33,-0.459069,-4.805,0.000002,-0.512172,0.2424,4
ZipTrader,21D,33,-0.318600,-4.914,0.000001,-0.098396,0.1515,3
ZipTrader,252D,33,-0.527260,-5.211,0.000000,-0.605714,0.2727,4
ZipTrader,504D,33,-0.546158,-3.479,0.000504,-0.268358,0.2727,8
ZipTrader,5D,33,-0.090239,-3.382,0.000719,-0.151269,0.3030,0
ZipTrader,63D,33,-0.330483,-4.768,0.000002,-0.327500,0.2424,4
ZipTrader,end_of_sample,33,-0.519695,-2.409,0.015977,-0.268358,0.3636,0
