event_id,ticker,creator,top5_flag,event_date,pre_63_22_proxy,pre_21_2_proxy,pre_5_1_proxy,post_5,post_21,post_63,momentum_tag_21d
1229,GOOGL,The Investor Channel,False,2024-02-02,-0.0483794416333163,-0.0296167006716701,-0.0786972333946204,0.0326384448296594,-0.0941511969955081,0.1371222255286168,continuation_or_stack
1230,UBER,Couch Investor,False,2025-11-10,-0.0373964840876475,-0.0360263548532739,-0.0535773997631762,0.0019945810635007,-0.114627882237944,-0.2638156291998177,continuation_or_stack
1231,TSLA,The Investor Channel,True,2024-02-17,-0.2783330522558754,-0.1165599300049736,0.0383496460106856,0.0103386095002147,-0.1444192661184099,-0.1674285675410967,reversal_or_contrast
1232,PYPL,The Investor Channel,False,2024-02-07,0.0099383103375356,-0.0252199307750868,-0.0007123484393198,-0.0700454407717714,-0.0942319357542778,-0.0325384285842447,continuation_or_stack
1233,NVDA,The Investor Channel,True,2024-02-07,0.384440464035559,0.2920151794407821,0.1078015303193715,0.0532799416190354,0.2213487349966738,0.2482848655936194,continuation_or_stack
1234,UBER,"Value Investing with Sven Carlin, Ph.D.",False,2025-03-05,0.0919019279694653,0.1611811539859245,0.0273490331408421,-0.0275497158855506,-0.0099469259528538,0.0659869669500397,reversal_or_contrast
1235,DIS,The Investor Channel,False,2024-03-15,0.1146021996316379,-0.0222659001703717,0.0153730836030093,0.0126944844848169,0.0295967628977255,-0.17164168528457,continuation_or_stack
1236,AAPL,The Investor Channel,True,2024-03-15,-0.2182587401440439,-0.0883738057649174,0.0116678266849751,-0.0242905340616472,-0.006412301034395,0.1680099537985979,reversal_or_contrast
1237,AMZN,The Investor Channel,True,2024-03-15,0.0804967399167329,-0.005642467771185,-0.0047058295632699,0.0031919585249224,0.0633833913204321,-0.0116540150596742,reversal_or_contrast
1238,GOOGL,The Investor Channel,False,2024-03-15,-0.0264190453155992,-0.0583780198689753,0.0432092259245794,0.0456064984652107,0.1059966350165141,0.1890388665638458,continuation_or_stack
1239,AMZN,"Mark Roussin, CPA",True,2024-10-30,-0.0243676437040019,0.0210211611633281,0.0399243774695925,0.0554913610559382,0.0397977591591611,0.1977899928843913,continuation_or_stack
1240,GOOGL,"Mark Roussin, CPA",False,2024-10-30,-0.0483913566923506,0.0247021760385954,0.0682583432728922,-0.0072665186225182,-0.0704447734573281,0.1206780757613616,reversal_or_contrast
1241,GOOGL,"Mark Roussin, CPA",False,2024-10-30,-0.0483913566923506,0.0247021760385954,0.0682583432728922,-0.0072665186225182,-0.0704447734573281,0.1206780757613616,reversal_or_contrast
1242,AMD,Jose Najarro Stocks,True,2025-09-25,0.0439697904708158,-0.0549162991946418,0.0248155289254918,0.0354842663665737,0.5391244169558029,0.2811858449632147,continuation_or_stack
1243,SHOP,Daniel Pronk,False,2024-05-13,,,,,,,
1244,SHOP,Daniel Pronk,False,2024-05-13,,,,,,,
1245,SHOP,Daniel Pronk,False,2024-05-13,,,,,,,
1246,NVDA,The Investor Channel,True,2024-03-09,0.7205930021791409,0.2057100609255935,0.0083384089015552,0.0250495185488492,0.0060690029592258,0.3689546292427841,continuation_or_stack
1247,NVDA,The Investor Channel,True,2024-03-09,0.7205930021791409,0.2057100609255935,0.0083384089015552,0.0250495185488492,0.0060690029592258,0.3689546292427841,continuation_or_stack
1248,TSLA,The Investor Channel,True,2024-03-09,-0.3876460997965745,-0.0882041169280341,-0.0531274941047408,-0.0285391949700446,-0.042486698368885,-0.0733277727131316,continuation_or_stack
1249,GOOGL,The Investor Channel,False,2024-03-09,-0.1148912142491085,-0.082480858452772,0.034386872638964,0.0665031663264263,0.1254824337863236,0.2217482773628944,continuation_or_stack
1250,AMZN,"Mark Roussin, CPA",True,2024-10-05,-0.1176941972883202,0.0008999066054318,-0.0192910656635076,0.0081841323395643,0.0877549217686726,0.1883100052830393,reversal_or_contrast
1251,PYPL,"Mark Roussin, CPA",False,2024-10-05,0.3356516637459403,0.1110415570702099,0.0389661911551764,-0.0239861507719305,-0.0282582973498682,0.0558884090884308,reversal_or_contrast
1252,PYPL,"Mark Roussin, CPA",False,2024-10-05,0.3356516637459403,0.1110415570702099,0.0389661911551764,-0.0239861507719305,-0.0282582973498682,0.0558884090884308,reversal_or_contrast
1253,NVDA,Couch Investor,True,2025-11-15,0.0191576027774653,0.0165212304097823,-0.0394048520292912,-0.0263009812228136,-0.0924796789356318,-0.0242727707249508,continuation_or_stack
1254,META,Couch Investor,False,2025-11-07,-0.2457246912942818,-0.1521346898272649,-0.0248292472694283,-0.0211345269082535,0.0387097280745887,0.0451411703954705,reversal_or_contrast
1255,SOFI,Couch Investor,False,2025-11-07,0.2002093429033062,-0.0081527583763888,-0.0332686708586369,-0.0152557572775761,-0.0669076561005523,-0.2837719833316707,continuation_or_stack
1256,META,"Value Investing with Sven Carlin, Ph.D.",False,2025-02-21,0.2104699794211049,0.1070293653023164,-0.045723289860829,-0.012855346513616,-0.0536216973523829,-0.0427383706049234,continuation_or_stack
1257,GOOGL,Couch Investor,False,2025-11-14,0.3120942938819127,0.0821310788556233,-0.0101099108686555,0.1033125626641181,0.0995102972636539,0.0737200318097017,reversal_or_contrast
1258,GOOGL,Couch Investor,False,2025-11-14,0.3120942938819127,0.0821310788556233,-0.0101099108686555,0.1033125626641181,0.0995102972636539,0.0737200318097017,reversal_or_contrast
1259,AMD,Couch Investor,True,2025-11-14,0.3538142528313586,0.0351359629406713,0.055390227565842,-0.1551462040144771,-0.1628344141865736,-0.2135631493244854,reversal_or_contrast
1260,NVDA,The Investor Channel,True,2024-02-02,0.3889212624611242,0.3362983497579206,0.0698006777920974,0.0764247690383084,0.2734427729176738,0.304616617883416,continuation_or_stack
1261,GOOGL,The Investor Channel,False,2024-02-02,-0.0483794416333163,-0.0296167006716701,-0.0786972333946204,0.0326384448296594,-0.0941511969955081,0.1371222255286168,continuation_or_stack
1262,NVDA,Jose Najarro Stocks,True,2025-10-03,0.1045563636637518,0.0592282227347165,0.0417548300734877,0.000421366601079,0.0815398925969277,-0.0279752138049331,continuation_or_stack
1263,NVDA,Jose Najarro Stocks,True,2025-10-03,0.1045563636637518,0.0592282227347165,0.0417548300734877,0.000421366601079,0.0815398925969277,-0.0279752138049331,continuation_or_stack
1264,NVDA,"Mark Roussin, CPA",True,2024-09-04,-0.1338175749858264,-0.0075426301204291,-0.153280910328505,0.094445609980847,0.1229885645656385,0.2212174296981115,reversal_or_contrast
