event_id,ticker,creator,recommendation_type,horizon,model,alpha,top5_flag,low_lookahead_flag,duplicate_collapsed_flag,sec_clean_flag,right_censored,available_trading_days,status,estimation_model
4,NVDA,The Investor Channel,buy,10D,FF5,-0.055287,True,False,True,False,False,10.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,10D,Carhart,-0.036887,True,False,True,False,False,10.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,21D,CAPM,0.029510,True,False,True,False,False,21.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,21D,FF3,-0.016590,True,False,True,False,False,21.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,21D,FF5,-0.034290,True,False,True,False,False,21.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,21D,Carhart,0.011410,True,False,True,False,False,21.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,42D,CAPM,0.092755,True,False,True,False,False,42.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,42D,FF3,0.067155,True,False,True,False,False,42.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,42D,FF5,0.047755,True,False,True,False,False,42.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,42D,Carhart,0.066655,True,False,True,False,False,42.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,63D,CAPM,-0.011410,True,False,True,False,False,63.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,63D,FF3,-0.011510,True,False,True,False,False,63.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,63D,FF5,-0.041310,True,False,True,False,False,63.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,63D,Carhart,-0.014910,True,False,True,False,False,63.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,126D,CAPM,0.058651,True,False,True,False,False,126.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,126D,FF3,-0.039049,True,False,True,False,False,126.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,126D,FF5,-0.031649,True,False,True,False,False,126.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,126D,Carhart,-0.053849,True,False,True,False,False,126.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,252D,CAPM,1.746672,True,False,True,False,False,252.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,252D,FF3,1.857072,True,False,True,False,False,252.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,252D,FF5,1.895272,True,False,True,False,False,252.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,252D,Carhart,1.724672,True,False,True,False,False,252.0,computed,factor_basket_stress_test_not_beta_estimated
