strategy,holding_days,cost_bps,signal_timing,trade_count,average_trade_return,median_trade_return,annualized_return_proxy,annualized_volatility_proxy,sharpe_proxy,max_drawdown_sequence,hit_rate,top5_event_share,ticker_concentration_top_share,years_spanned,status
short_non_top_buys_diagnostic,21,10,next_close,802,-0.007474,0.003221,-0.086088,0.358694,-0.240,-0.999971,0.511222,0.000000,0.241895,5.18,diagnostic_not_tradability_proof
short_non_top_buys_diagnostic,21,10,one_day_delay,802,-0.007974,0.002721,-0.091597,0.358694,-0.255,-0.999981,0.508728,0.000000,0.241895,5.18,diagnostic_not_tradability_proof
short_non_top_buys_diagnostic,21,25,next_close,802,-0.010474,0.000221,-0.118691,0.358694,-0.331,-0.999997,0.501247,0.000000,0.241895,5.18,diagnostic_not_tradability_proof
short_non_top_buys_diagnostic,21,25,one_day_delay,802,-0.010974,-0.000279,-0.124020,0.358694,-0.346,-0.999998,0.493766,0.000000,0.241895,5.18,diagnostic_not_tradability_proof
short_non_top_buys_diagnostic,21,50,next_close,802,-0.015474,-0.004779,-0.170669,0.358694,-0.476,-1.000000,0.475062,0.000000,0.241895,5.18,diagnostic_not_tradability_proof
short_non_top_buys_diagnostic,21,50,one_day_delay,802,-0.015974,-0.005279,-0.175709,0.358694,-0.490,-1.000000,0.471322,0.000000,0.241895,5.18,diagnostic_not_tradability_proof
short_non_top_buys_diagnostic,21,100,next_close,802,-0.025474,-0.014779,-0.266293,0.358694,-0.742,-1.000000,0.426434,0.000000,0.241895,5.18,diagnostic_not_tradability_proof
short_non_top_buys_diagnostic,21,100,one_day_delay,802,-0.025974,-0.015279,-0.270797,0.358694,-0.755,-1.000000,0.425187,0.000000,0.241895,5.18,diagnostic_not_tradability_proof
long_buy_short_sell,21,0,next_close,2322,0.013814,0.005049,0.178959,0.495801,0.361,-0.999980,0.519811,0.586563,0.168389,6.22,diagnostic_not_tradability_proof
long_buy_short_sell,21,0,one_day_delay,2322,0.013314,0.004549,0.172000,0.495801,0.347,-0.999986,0.518088,0.586563,0.168389,6.22,diagnostic_not_tradability_proof
long_buy_short_sell,21,5,next_close,2322,0.012814,0.004049,0.165079,0.495801,0.333,-0.999991,0.515935,0.586563,0.168389,6.22,diagnostic_not_tradability_proof
long_buy_short_sell,21,5,one_day_delay,2322,0.012314,0.003549,0.158196,0.495801,0.319,-0.999994,0.515504,0.586563,0.168389,6.22,diagnostic_not_tradability_proof
long_buy_short_sell,21,10,next_close,2322,0.011814,0.003049,0.151350,0.495801,0.305,-0.999996,0.512920,0.586563,0.168389,6.22,diagnostic_not_tradability_proof
long_buy_short_sell,21,10,one_day_delay,2322,0.011314,0.002549,0.144541,0.495801,0.292,-0.999997,0.509905,0.586563,0.168389,6.22,diagnostic_not_tradability_proof
long_buy_short_sell,21,25,next_close,2322,0.008814,0.000049,0.111047,0.495801,0.224,-1.000000,0.500000,0.586563,0.168389,6.22,diagnostic_not_tradability_proof
long_buy_short_sell,21,25,one_day_delay,2322,0.008314,-0.000451,0.104457,0.495801,0.211,-1.000000,0.498277,0.586563,0.168389,6.22,diagnostic_not_tradability_proof
long_buy_short_sell,21,50,next_close,2322,0.003814,-0.004951,0.046738,0.495801,0.094,-1.000000,0.482773,0.586563,0.168389,6.22,diagnostic_not_tradability_proof
long_buy_short_sell,21,50,one_day_delay,2322,0.003314,-0.005451,0.040499,0.495801,0.082,-1.000000,0.481051,0.586563,0.168389,6.22,diagnostic_not_tradability_proof
long_buy_short_sell,21,100,next_close,2322,-0.006186,-0.014951,-0.071760,0.495801,-0.145,-1.000000,0.444014,0.586563,0.168389,6.22,diagnostic_not_tradability_proof
long_buy_short_sell,21,100,one_day_delay,2322,-0.006686,-0.015451,-0.077348,0.495801,-0.156,-1.000000,0.442291,0.586563,0.168389,6.22,diagnostic_not_tradability_proof
long_all_buys,63,0,next_close,1808,0.092438,0.050611,0.424253,0.489348,0.867,-0.975371,0.635509,0.556416,0.154314,6.22,diagnostic_not_tradability_proof
long_all_buys,63,0,one_day_delay,1808,0.091938,0.050111,0.421647,0.489348,0.862,-0.975572,0.634956,0.556416,0.154314,6.22,diagnostic_not_tradability_proof
long_all_buys,63,5,next_close,1808,0.091438,0.049611,0.419045,0.489348,0.856,-0.975771,0.632190,0.556416,0.154314,6.22,diagnostic_not_tradability_proof
long_all_buys,63,5,one_day_delay,1808,0.090938,0.049111,0.416447,0.489348,0.851,-0.975969,0.629425,0.556416,0.154314,6.22,diagnostic_not_tradability_proof
