event_id,ticker,company_name,event_date,window_pm1,window_pm3,window_pm5,filing_count_pm1,filing_count_pm3,filing_count_pm5,material_filing_flag_pm1,material_filing_flag_pm3,material_filing_flag_pm5,material_form_types,nearest_filing_date,nearest_form_type,sec_confounded_flag,sec_clean_flag,query_status,reason_codes
494,GOOGL,Alphabet,2022-05-26,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2023-01-25,4,False,True,ok,
495,GOOGL,Alphabet,2022-05-26,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2023-01-25,4,False,True,ok,
496,AMZN,Amazon,2024-01-05,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",2,3,3,False,False,False,,2024-01-05,144,False,True,ok,
497,AAPL,Apple,2024-01-13,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,2,3,False,True,True,DEF 14A,2024-01-11,DEFA14A,True,False,ok,material_filing_pm5
498,MSFT,Microsoft,2024-01-13,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,1,1,False,False,False,,2024-01-16,4,False,True,ok,
499,AAPL,Apple,2024-05-08,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,2,False,False,True,10-Q;8-K,2024-05-03,8-K,True,False,ok,material_filing_pm5
500,AMD,,2025-10-12,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,1,3,False,False,False,,2025-10-15,144,False,True,ok,
501,AMD,,2025-10-12,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,1,3,False,False,False,,2025-10-15,144,False,True,ok,
502,MSFT,Microsoft,2023-12-22,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2023-12-29,4,False,True,ok,
503,NVDA,Nvidia,2023-12-22,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,3,4,False,False,False,,2023-12-20,4,False,True,ok,
504,GOOGL,Alphabet,2024-04-25,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",8,8,10,True,True,True,10-Q;8-K;DEF 14A,2024-04-25,8-K,True,False,ok,material_filing_pm5
505,AAPL,Apple,2024-05-03,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",3,3,4,True,True,True,10-Q;8-K,2024-05-03,8-K,True,False,ok,material_filing_pm5
506,TSLA,Tesla,2024-05-03,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",1,5,11,False,False,True,DEF 14A,2024-05-03,DEFA14A,True,False,ok,material_filing_pm5
507,MSFT,Microsoft,2025-10-30,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",4,4,6,True,True,True,10-Q;8-K,2025-10-31,DEFA14A,True,False,ok,material_filing_pm5
508,GOOGL,Alphabet,2025-10-30,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",5,5,11,True,True,True,10-Q;424B5;8-K,2025-10-30,144,True,False,ok,material_filing_pm5
