creator,horizon,event_count,top5_share,mean_pre21_spy_bhar,right_censored,n,mean,median,t_stat,p_value,win_rate
Joseph Carlson,5D,44,0.5682,-0.001558,0,44,-0.004432,0.002467,-0.948,0.343117,0.5227
Joseph Carlson,63D,44,0.5682,-0.001558,0,44,0.042873,0.032199,2.131,0.033124,0.6136
Joseph Carlson,end_of_sample,44,0.5682,-0.001558,0,44,0.152268,0.016081,1.100,0.271173,0.5455
Kenan Grace,126D,8,0.6250,0.043160,7,8,0.030057,0.041851,0.573,0.566675,0.7500
Kenan Grace,21D,8,0.6250,0.043160,4,8,0.025383,0.014112,0.804,0.421470,0.6250
Kenan Grace,252D,8,0.6250,0.043160,8,8,0.015708,0.041851,0.246,0.805862,0.7500
Kenan Grace,504D,8,0.6250,0.043160,8,8,0.015708,0.041851,0.246,0.805862,0.7500
Kenan Grace,5D,8,0.6250,0.043160,0,8,0.019147,0.022256,2.810,0.004955,0.8750
Kenan Grace,63D,8,0.6250,0.043160,6,8,0.013657,0.014112,0.320,0.749341,0.6250
Kenan Grace,end_of_sample,8,0.6250,0.043160,0,8,0.015708,0.041851,0.246,0.805862,0.7500
Learn to Invest - Investors Grow,126D,38,0.3158,0.011646,3,38,0.094621,0.109703,2.933,0.003354,0.7895
Learn to Invest - Investors Grow,21D,38,0.3158,0.011646,0,38,0.039881,0.022585,1.916,0.055359,0.5789
Learn to Invest - Investors Grow,252D,38,0.3158,0.011646,4,38,0.089468,0.049640,2.002,0.045232,0.5789
Learn to Invest - Investors Grow,504D,38,0.3158,0.011646,26,38,0.127276,0.098956,1.445,0.148356,0.5526
Learn to Invest - Investors Grow,5D,38,0.3158,0.011646,0,38,0.036254,0.018279,3.102,0.001923,0.7368
Learn to Invest - Investors Grow,63D,38,0.3158,0.011646,1,38,0.095343,0.129786,3.796,0.000147,0.6053
Learn to Invest - Investors Grow,end_of_sample,38,0.3158,0.011646,0,38,0.260303,-0.152759,1.437,0.150674,0.4737
"Mark Roussin, CPA",126D,213,0.6338,-0.000311,19,213,0.095476,0.046804,4.910,0.000001,0.6009
"Mark Roussin, CPA",21D,213,0.6338,-0.000311,8,213,0.010593,0.004331,1.699,0.089340,0.5164
"Mark Roussin, CPA",252D,213,0.6338,-0.000311,42,213,0.160553,0.056857,5.012,0.000001,0.5962
"Mark Roussin, CPA",504D,213,0.6338,-0.000311,148,213,0.335336,0.083004,6.445,0.000000,0.6338
"Mark Roussin, CPA",5D,213,0.6338,-0.000311,0,213,0.005511,0.001467,1.777,0.075648,0.5117
"Mark Roussin, CPA",63D,213,0.6338,-0.000311,12,213,0.047680,0.036668,4.067,0.000048,0.5681
"Mark Roussin, CPA",end_of_sample,213,0.6338,-0.000311,0,213,0.385084,0.102310,6.410,0.000000,0.6244
Meet Kevin,126D,12,0.8333,-0.053090,12,12,0.089971,0.035849,1.069,0.285221,0.5000
Meet Kevin,21D,12,0.8333,-0.053090,0,12,-0.011285,-0.026321,-0.836,0.402964,0.4167
Meet Kevin,252D,12,0.8333,-0.053090,12,12,0.089971,0.035849,1.069,0.285221,0.5000
Meet Kevin,504D,12,0.8333,-0.053090,12,12,0.089971,0.035849,1.069,0.285221,0.5000
Meet Kevin,5D,12,0.8333,-0.053090,0,12,0.005517,0.000890,0.386,0.699311,0.5000
Meet Kevin,63D,12,0.8333,-0.053090,1,12,-0.048375,-0.055564,-2.275,0.022879,0.2500
Meet Kevin,end_of_sample,12,0.8333,-0.053090,0,12,0.089971,0.035849,1.069,0.285221,0.5000
Minority Mindset,126D,1,1.0000,0.032813,1,1,0.041472,0.041472,,,1.0000
Minority Mindset,21D,1,1.0000,0.032813,0,1,-0.092807,-0.092807,,,0.0000
Minority Mindset,252D,1,1.0000,0.032813,1,1,0.041472,0.041472,,,1.0000
Minority Mindset,504D,1,1.0000,0.032813,1,1,0.041472,0.041472,,,1.0000
Minority Mindset,5D,1,1.0000,0.032813,0,1,-0.138829,-0.138829,,,0.0000
Minority Mindset,63D,1,1.0000,0.032813,0,1,0.084413,0.084413,,,1.0000
Minority Mindset,end_of_sample,1,1.0000,0.032813,0,1,0.041472,0.041472,,,1.0000
New Money,126D,28,0.6429,0.005780,0,28,0.050619,0.104187,1.562,0.118181,0.6071
New Money,21D,28,0.6429,0.005780,0,28,0.002843,0.005496,0.295,0.768288,0.5714
New Money,252D,28,0.6429,0.005780,0,28,0.069810,0.005185,1.848,0.064553,0.5357
New Money,504D,28,0.6429,0.005780,5,28,0.135035,0.118527,1.940,0.052338,0.6786
New Money,5D,28,0.6429,0.005780,0,28,0.006650,0.016627,1.351,0.176628,0.5714
New Money,63D,28,0.6429,0.005780,0,28,0.036119,0.012694,1.264,0.206231,0.5714
New Money,end_of_sample,28,0.6429,0.005780,0,28,0.303743,0.170408,2.064,0.038978,0.6786
"Parkev Tatevosian, CFA",126D,127,0.3307,0.007426,127,127,0.036750,-0.040901,1.414,0.157393,0.3622
"Parkev Tatevosian, CFA",21D,127,0.3307,0.007426,51,127,0.001740,-0.016299,0.138,0.890550,0.4252
"Parkev Tatevosian, CFA",252D,127,0.3307,0.007426,127,127,0.036750,-0.040901,1.414,0.157393,0.3622
"Parkev Tatevosian, CFA",504D,127,0.3307,0.007426,127,127,0.036750,-0.040901,1.414,0.157393,0.3622
"Parkev Tatevosian, CFA",5D,127,0.3307,0.007426,12,127,-0.010292,-0.010977,-1.996,0.045883,0.3937
"Parkev Tatevosian, CFA",63D,127,0.3307,0.007426,113,127,0.037602,-0.040614,1.426,0.154011,0.3622
"Parkev Tatevosian, CFA",end_of_sample,127,0.3307,0.007426,0,127,0.036750,-0.040901,1.414,0.157393,0.3622
STOCK UP! with LARRY JONES,126D,19,0.6316,-0.040724,12,19,-0.000416,-0.003549,-0.010,0.992280,0.4737
STOCK UP! with LARRY JONES,21D,19,0.6316,-0.040724,1,19,-0.024219,-0.019651,-1.301,0.193175,0.2632
STOCK UP! with LARRY JONES,252D,19,0.6316,-0.040724,19,19,0.010497,0.015066,0.242,0.808418,0.6316
STOCK UP! with LARRY JONES,504D,19,0.6316,-0.040724,19,19,0.010497,0.015066,0.242,0.808418,0.6316
STOCK UP! with LARRY JONES,5D,19,0.6316,-0.040724,0,19,-0.007344,-0.000503,-0.650,0.515480,0.4737
STOCK UP! with LARRY JONES,63D,19,0.6316,-0.040724,6,19,-0.022683,-0.030097,-0.543,0.586957,0.4737
STOCK UP! with LARRY JONES,end_of_sample,19,0.6316,-0.040724,0,19,0.010497,0.015066,0.242,0.808418,0.6316
Sasha Yanshin,126D,49,0.7755,-0.027513,1,49,0.137243,0.122879,3.064,0.002182,0.6735
Sasha Yanshin,21D,49,0.7755,-0.027513,0,49,-0.020956,-0.001078,-0.847,0.396978,0.4490
Sasha Yanshin,252D,49,0.7755,-0.027513,1,49,0.178970,0.138452,3.672,0.000241,0.7959
Sasha Yanshin,504D,49,0.7755,-0.027513,9,49,0.356288,0.153441,4.125,0.000037,0.7755
