event_id,video_id,ticker,event_date,in_v1_locked_sample,in_v2_live_sample,v1_only,v2_only,shared,notes
189,WZn7DEvbUSg,NVDA,2025-07-16,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
190,WnC3Y0FeI4w,MSFT,2026-03-10,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
191,WnC3Y0FeI4w,MSFT,2026-03-10,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
192,WuXwBigWRnM,MSFT,2023-09-25,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
193,XIFBe1sQ154,AMD,2025-08-10,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
194,XIFBe1sQ154,NVDA,2025-08-10,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
195,XJhgSiCH4Bs,PYPL,2025-08-18,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
196,XJhgSiCH4Bs,SOFI,2025-08-18,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
197,XJhgSiCH4Bs,GOOGL,2025-08-18,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
198,XSUg0rwuMaM,AMD,2025-08-11,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
199,XSUg0rwuMaM,AMD,2025-08-11,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
200,XSUg0rwuMaM,AMD,2025-08-11,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
201,XSUg0rwuMaM,AMD,2025-08-11,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
202,XSUg0rwuMaM,NVDA,2025-08-11,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
203,XSUg0rwuMaM,NVDA,2025-08-11,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
204,XZ5iutKcq3c,UBER,2026-03-19,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
205,XZ5iutKcq3c,UBER,2026-03-19,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
206,Y4NVOCAnKzI,AAPL,2024-01-18,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
207,Y4NVOCAnKzI,AAPL,2024-01-18,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
208,Y4NVOCAnKzI,NVDA,2024-01-18,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
209,Y4NVOCAnKzI,GOOGL,2024-01-18,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
210,YNxgKIqwPew,PYPL,2023-08-06,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
211,YVPkNk3gVI8,AMD,2026-02-09,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
212,YVPkNk3gVI8,AMD,2026-02-09,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
213,YVPkNk3gVI8,AMD,2026-02-09,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
214,YVPkNk3gVI8,NVDA,2026-02-09,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
215,YkhnRbBTtPs,NVDA,2025-08-11,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
216,YohV6wKnHHI,TSLA,2023-04-19,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
217,YohV6wKnHHI,NVDA,2023-04-19,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
218,ZTDmzaBxq6Y,PYPL,2025-08-24,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
219,Zvssf-n6JsE,NFLX,2023-03-24,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
220,_2ZHIcyoupo,AAPL,2023-04-28,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
221,_2ZHIcyoupo,AAPL,2023-04-28,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
222,_2ZHIcyoupo,AMZN,2023-04-28,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
